onset	duration	trial	ProperName	categ	cond	restudyDuration	stim_file
20.001	8	1	Perry	Pig	NRPb	2	Pig7.jpg
28.001	8	2	Gordie	Giraffe	RPminus	2	Giraffe1.jpg
36.002	8	3	Oxley	Otter	RPplus	2	Otter3.jpg
44.002	8	4	Oakley	Otter	RPminus	2	Otter4.jpg
52.002	8	5	Arlen	Ape	NRPb	2	Ape4.jpg
60.002	8	6	Pearson	Pig	NRPa	2	Pig3.jpg
68.002	8	7	Paxton	Pig	NRPa	2	Pig2.jpg
76.002	8	8	Patrice	Pig	NRPb	2	Pig1.jpg
84.003	8	9	Gino	Giraffe	RPminus	2	Giraffe6.jpg
92.003	8	10	Godwin	Giraffe	RPplus	2	Giraffe5.jpg
100.003	8	11	Amos	Ape	NRPb	2	Ape3.jpg
108.003	8	12	Luther	Lion	RPminus	2	Lion3.jpg
116.003	8	13	Griswold	Giraffe	RPminus	2	Giraffe7.jpg
124.004	8	14	Elden	Elephant	NRPa	2	Elephant3.jpg
132.004	8	15	Odin	Otter	RPminus	2	Otter8.jpg
140.004	8	16	Omar	Otter	RPplus	2	Otter7.jpg
148.004	8	17	Lonnie	Lion	RPplus	2	Lion8.jpg
156.004	8	18	Parrish	Pig	NRPa	2	Pig4.jpg
164.005	8	19	Levar	Lion	RPminus	2	Lion5.jpg
172.005	8	20	Percy	Pig	NRPb	2	Pig8.jpg
180.005	8	21	Ennis	Elephant	NRPa	2	Elephant4.jpg
188.005	8	22	Edbert	Elephant	NRPb	2	Elephant1.jpg
196.005	8	23	Olaf	Otter	RPminus	2	Otter6.jpg
204.006	8	24	Orson	Otter	RPplus	2	Otter5.jpg
212.006	8	25	Linton	Lion	RPplus	2	Lion1.jpg
220.006	8	26	Efren	Elephant	NRPb	2	Elephant8.jpg
228.006	8	27	Gifford	Giraffe	RPplus	2	Giraffe4.jpg
236.006	8	28	Amin	Ape	NRPa	2	Ape8.jpg
244.007	8	29	Luka	Lion	RPplus	2	Lion4.jpg
252.007	8	30	Gunther	Giraffe	RPplus	2	Giraffe3.jpg
260.007	8	31	Leroy	Lion	RPminus	2	Lion7.jpg
268.007	8	32	Garret	Giraffe	RPplus	2	Giraffe8.jpg
276.008	8	33	Pryor	Pig	NRPb	2	Pig6.jpg
284.008	8	34	Landin	Lion	RPminus	2	Lion6.jpg
292.008	8	35	Lester	Lion	RPplus	2	Lion2.jpg
300.008	8	36	Anton	Ape	NRPa	2	Ape1.jpg
308.009	8	37	Orrin	Otter	RPminus	2	Otter2.jpg
316.009	8	38	Emmet	Elephant	NRPa	2	Elephant5.jpg
324.009	8	39	Osgood	Otter	RPplus	2	Otter1.jpg
332.009	8	40	Abner	Ape	NRPa	2	Ape2.jpg
340.009	8	41	Alden	Ape	NRPb	2	Ape6.jpg
348.01	8	42	Eton	Elephant	NRPb	2	Elephant7.jpg
356.01	8	43	Glenworth	Giraffe	RPminus	2	Giraffe2.jpg
364.01	8	44	Prescott	Pig	NRPa	2	Pig5.jpg
372.01	8	45	Ewan	Elephant	NRPb	2	Elephant6.jpg
380.01	8	46	Asher	Ape	NRPb	2	Ape7.jpg
388.011	8	47	Egan	Elephant	NRPa	2	Elephant2.jpg
396.011	8	48	Angus	Ape	NRPa	2	Ape5.jpg
