onset	duration	onsetdelay	ITIduration	trial	ProperName	categ	cond	vocalOnset	rpDuration	vocalDuration	stim_file
20.002	4	0	1.5	1	Arlen	Ape	RPplus	10.009	2	2	Ape5.jpg
25.502	4	0	1	2	Orrin	Otter	RPplus	15.509	2	2	Otter3.jpg
30.502	4	0	2.5	3	Alden	Ape	RPminus	22.487	2	2	Ape6.jpg
37.002	4	0	1	4	Amin	Ape	RPplus	27.009	2	2	Ape3.jpg
42.003	4	0	1	5	Pearson	Pig	RPminus	33.987	2	2	Pig4.jpg
47.003	4	0	1	6	Paxton	Pig	RPplus	37.009	2	2	Pig2.jpg
52.003	4	0	5.5	7	Parrish	Pig	RPplus	42.01	2	2	Pig5.jpg
61.504	4	0	1	8	Luther	Lion	NRPb	53.488	2	2	Lion4.jpg
66.504	4	0	2	9	Edbert	Elephant	NRPa	58.489	2	2	Elephant1.jpg
72.504	4	0	1	10	Griswold	Giraffe	NRPb	64.489	2	2	Giraffe3.jpg
77.505	4	0	1	11	Odin	Otter	RPplus	67.511	2	2	Otter5.jpg
82.505	4	0	1	12	Pryor	Pig	RPminus	74.49	2	2	Pig8.jpg
87.505	4	0	1	13	Elden	Elephant	NRPa	79.49	2	2	Elephant8.jpg
92.505	4	0	1.5	14	Perry	Pig	RPminus	84.49	2	2	Pig3.jpg
98.006	4	0	1	15	Linton	Lion	NRPb	89.99	2	2	Lion6.jpg
103.006	4	0	1.5	16	Gunther	Giraffe	NRPa	94.99	2	2	Giraffe6.jpg
108.506	4	0	1.5	17	Efren	Elephant	NRPb	100.491	2	2	Elephant2.jpg
114.006	4	0	5	18	Anton	Ape	RPminus	105.991	2	2	Ape7.jpg
123.007	4	0	1	19	Garret	Giraffe	NRPb	114.991	2	2	Giraffe7.jpg
128.007	4	0	1.5	20	Leroy	Lion	NRPa	119.991	2	2	Lion3.jpg
133.507	4	0	1	21	Abner	Ape	RPminus	125.492	2	2	Ape1.jpg
138.507	4	0	1.5	22	Patrice	Pig	RPplus	128.514	2	2	Pig6.jpg
144.008	4	0	2.5	23	Asher	Ape	RPminus	135.992	2	2	Ape8.jpg
150.508	4	0	3	24	Oakley	Otter	RPminus	142.493	2	2	Otter6.jpg
157.508	4	0	1	25	Gino	Giraffe	NRPb	149.493	2	2	Giraffe4.jpg
162.509	4	0	1	26	Orson	Otter	RPminus	154.493	2	2	Otter4.jpg
167.509	4	0	4.5	27	Amos	Ape	RPplus	157.516	2	2	Ape4.jpg
176.009	4	0	1	28	Gordie	Giraffe	NRPa	167.994	2	2	Giraffe1.jpg
181.009	4	0	1	29	Emmet	Elephant	NRPb	172.994	2	2	Elephant6.jpg
186.01	4	0	1	30	Ewan	Elephant	NRPb	177.994	2	2	Elephant3.jpg
191.01	4	0	1	31	Luka	Lion	NRPb	182.995	2	2	Lion1.jpg
196.01	4	0	2.5	32	Angus	Ape	RPplus	186.017	2	2	Ape2.jpg
202.511	4	0	2	33	Eton	Elephant	NRPa	194.495	2	2	Elephant7.jpg
208.511	4	0	3	34	Oxley	Otter	RPminus	200.495	2	2	Otter8.jpg
215.511	4	0	1.5	35	Percy	Pig	RPplus	205.518	2	2	Pig7.jpg
221.011	4	0	1.5	36	Olaf	Otter	RPplus	211.019	2	2	Otter2.jpg
226.511	4	0	1	37	Lester	Lion	NRPa	218.496	2	2	Lion7.jpg
231.512	4	0	3.5	38	Landin	Lion	NRPa	223.496	2	2	Lion5.jpg
239.012	4	0	1	39	Osgood	Otter	RPplus	229.019	2	2	Otter1.jpg
244.012	4	0	1.5	40	Levar	Lion	NRPb	235.997	2	2	Lion8.jpg
249.513	4	0	2	41	Olaf	Otter	RPplus	239.52	2	2	Otter2.jpg
255.513	4	0	1	42	Odin	Otter	RPplus	245.52	2	2	Otter5.jpg
260.513	4	0	1	43	Percy	Pig	RPplus	250.52	2	2	Pig7.jpg
265.513	4	0	6	44	Omar	Otter	RPminus	257.498	2	2	Otter7.jpg
275.514	4	0	1.5	45	Parrish	Pig	RPplus	265.52	2	2	Pig5.jpg
281.014	4	0	3.5	46	Godwin	Giraffe	NRPa	272.999	2	2	Giraffe5.jpg
288.514	4	0	1	47	Ennis	Elephant	NRPa	280.499	2	2	Elephant5.jpg
293.514	4	0	1	48	Gifford	Giraffe	NRPb	285.499	2	2	Giraffe8.jpg
298.515	4	0	3.5	49	Prescott	Pig	RPminus	290.499	2	2	Pig1.jpg
306.015	4	0	1	50	Amin	Ape	RPplus	296.021	2	2	Ape3.jpg
311.015	4	0	1	51	Lonnie	Lion	NRPa	303	2	2	Lion2.jpg
316.015	4	0	1.5	52	Oakley	Otter	RPminus	308	2	2	Otter6.jpg
321.516	4	0	2	53	Glenworth	Giraffe	NRPa	313.5	2	2	Giraffe2.jpg
327.516	4	0	1	54	Egan	Elephant	NRPb	319.501	2	2	Elephant4.jpg
332.516	4	0	3.5	55	Edbert	Elephant	NRPa	324.501	2	2	Elephant1.jpg
340.016	4	0	1	56	Omar	Otter	RPminus	332.001	2	2	Otter7.jpg
345.017	4	0	1.5	57	Gordie	Giraffe	NRPa	337.002	2	2	Giraffe1.jpg
350.517	4	0	2	58	Glenworth	Giraffe	NRPa	342.502	2	2	Giraffe2.jpg
356.517	4	0	1	59	Linton	Lion	NRPb	348.502	2	2	Lion6.jpg
361.518	4	0	1	60	Leroy	Lion	NRPa	353.502	2	2	Lion3.jpg
366.518	4	0	1.5	61	Amos	Ape	RPplus	356.525	2	2	Ape4.jpg
372.018	4	0	2	62	Eton	Elephant	NRPa	364.003	2	2	Elephant7.jpg
378.019	4	0	2	63	Landin	Lion	NRPa	370.003	2	2	Lion5.jpg
384.019	4	0	2.5	64	Egan	Elephant	NRPb	376.003	2	2	Elephant4.jpg
390.519	4	0	1	65	Oxley	Otter	RPminus	382.504	2	2	Otter8.jpg
395.519	4	0	1	66	Angus	Ape	RPplus	385.526	2	2	Ape2.jpg
400.52	4	0	2	67	Lester	Lion	NRPa	392.504	2	2	Lion7.jpg
406.52	4	0	1	68	Orrin	Otter	RPplus	396.528	2	2	Otter3.jpg
411.52	4	0	1	69	Efren	Elephant	NRPb	403.505	2	2	Elephant2.jpg
416.521	4	0	1	70	Gino	Giraffe	NRPb	408.505	2	2	Giraffe4.jpg
421.521	4	0	2	71	Griswold	Giraffe	NRPb	413.505	2	2	Giraffe3.jpg
427.521	4	0	2	72	Prescott	Pig	RPminus	419.506	2	2	Pig1.jpg
433.521	4	0	1.5	73	Emmet	Elephant	NRPb	425.506	2	2	Elephant6.jpg
439.022	4	0	1.5	74	Elden	Elephant	NRPa	431.006	2	2	Elephant8.jpg
444.522	4	0	1.5	75	Orson	Otter	RPminus	436.507	2	2	Otter4.jpg
450.022	4	0	1	76	Godwin	Giraffe	NRPa	442.007	2	2	Giraffe5.jpg
455.022	4	0	1.5	77	Garret	Giraffe	NRPb	447.007	2	2	Giraffe7.jpg
460.523	4	0	1	78	Arlen	Ape	RPplus	450.529	2	2	Ape5.jpg
465.523	4	0	2	79	Ennis	Elephant	NRPa	457.508	2	2	Elephant5.jpg
471.523	4	0	1	80	Pryor	Pig	RPminus	463.508	2	2	Pig8.jpg
476.523	4	0	2.5	81	Alden	Ape	RPminus	468.508	2	2	Ape6.jpg
