onset	duration	trial	ProperName	categ	cond	restudyDuration	stim_file
20.001	8	1	Elden	Elephant	RPplus	2	Elephant8.jpg
28.002	8	2	Orrin	Otter	NRPa	2	Otter6.jpg
36.002	8	3	Pryor	Pig	RPminus	2	Pig2.jpg
44.002	8	4	Gino	Giraffe	NRPa	2	Giraffe3.jpg
52.002	8	5	Levar	Lion	NRPb	2	Lion3.jpg
60.002	8	6	Orson	Otter	NRPb	2	Otter8.jpg
68.003	8	7	Luther	Lion	NRPa	2	Lion2.jpg
76.003	8	8	Linton	Lion	NRPa	2	Lion7.jpg
84.003	8	9	Egan	Elephant	RPminus	2	Elephant5.jpg
92.003	8	10	Griswold	Giraffe	NRPa	2	Giraffe7.jpg
100.003	8	11	Odin	Otter	NRPa	2	Otter3.jpg
108.003	8	12	Angus	Ape	RPminus	2	Ape7.jpg
116.003	8	13	Abner	Ape	RPplus	2	Ape2.jpg
124.004	8	14	Alden	Ape	RPminus	2	Ape5.jpg
132.004	8	15	Perry	Pig	RPplus	2	Pig6.jpg
140.004	8	16	Luka	Lion	NRPb	2	Lion4.jpg
148.004	8	17	Edbert	Elephant	RPminus	2	Elephant3.jpg
156.005	8	18	Prescott	Pig	RPminus	2	Pig7.jpg
164.005	8	19	Ennis	Elephant	RPplus	2	Elephant1.jpg
172.005	8	20	Glenworth	Giraffe	NRPb	2	Giraffe1.jpg
180.005	8	21	Godwin	Giraffe	NRPb	2	Giraffe5.jpg
188.006	8	22	Amin	Ape	RPminus	2	Ape1.jpg
196.006	8	23	Eton	Elephant	RPplus	2	Elephant7.jpg
204.006	8	24	Paxton	Pig	RPplus	2	Pig4.jpg
212.006	8	25	Osgood	Otter	NRPa	2	Otter2.jpg
220.006	8	26	Omar	Otter	NRPb	2	Otter4.jpg
228.006	8	27	Olaf	Otter	NRPb	2	Otter5.jpg
236.007	8	28	Gordie	Giraffe	NRPb	2	Giraffe4.jpg
244.007	8	29	Percy	Pig	RPminus	2	Pig5.jpg
252.007	8	30	Arlen	Ape	RPplus	2	Ape4.jpg
260.007	8	31	Lester	Lion	NRPa	2	Lion5.jpg
268.007	8	32	Ewan	Elephant	RPplus	2	Elephant4.jpg
276.008	8	33	Efren	Elephant	RPminus	2	Elephant6.jpg
284.008	8	34	Patrice	Pig	RPplus	2	Pig8.jpg
292.008	8	35	Landin	Lion	NRPa	2	Lion8.jpg
300.008	8	36	Pearson	Pig	RPminus	2	Pig1.jpg
308.009	8	37	Gifford	Giraffe	NRPa	2	Giraffe2.jpg
316.009	8	38	Oakley	Otter	NRPb	2	Otter7.jpg
324.009	8	39	Parrish	Pig	RPplus	2	Pig3.jpg
332.009	8	40	Leroy	Lion	NRPb	2	Lion1.jpg
340.009	8	41	Anton	Ape	RPplus	2	Ape3.jpg
348.009	8	42	Emmet	Elephant	RPminus	2	Elephant2.jpg
356.01	8	43	Lonnie	Lion	NRPb	2	Lion6.jpg
364.01	8	44	Gunther	Giraffe	NRPa	2	Giraffe8.jpg
372.01	8	45	Garret	Giraffe	NRPb	2	Giraffe6.jpg
380.01	8	46	Asher	Ape	RPplus	2	Ape8.jpg
388.01	8	47	Amos	Ape	RPminus	2	Ape6.jpg
396.011	8	48	Oxley	Otter	NRPa	2	Otter1.jpg
