onset	duration	onsetdelay	ITIduration	trial	ProperName	categ	cond	vocalOnset	rpDuration	vocalDuration	stim_file
20.001	4	0	1.5	1	Egan	Elephant	RPplus	10.009	2	2	Elephant5.jpg
25.501	4	0	1	2	Angus	Ape	RPplus	15.508	2	2	Ape7.jpg
30.501	4	0	2.5	3	Asher	Ape	RPminus	22.486	2	2	Ape1.jpg
37.001	4	0	1	4	Glenworth	Giraffe	RPplus	27.008	2	2	Giraffe5.jpg
42.002	4	0	1	5	Emmet	Elephant	RPminus	33.986	2	2	Elephant7.jpg
47.002	4	0	1	6	Garret	Giraffe	RPplus	37.008	2	2	Giraffe3.jpg
52.002	4	0	5.5	7	Ennis	Elephant	RPplus	42.009	2	2	Elephant4.jpg
61.503	4	0	1	8	Oxley	Otter	NRPb	53.487	2	2	Otter5.jpg
66.503	4	0	2	9	Landin	Lion	NRPa	58.488	2	2	Lion1.jpg
72.503	4	0	1	10	Parrish	Pig	NRPb	64.488	2	2	Pig2.jpg
77.503	4	0	1	11	Abner	Ape	RPplus	67.51	2	2	Ape4.jpg
82.504	4	0	1	12	Amos	Ape	RPminus	74.488	2	2	Ape2.jpg
87.504	4	0	1	13	Lester	Lion	NRPa	79.489	2	2	Lion7.jpg
92.504	4	0	1.5	14	Arlen	Ape	RPminus	84.489	2	2	Ape5.jpg
98.005	4	0	1	15	Leroy	Lion	NRPb	89.989	2	2	Lion4.jpg
103.005	4	0	1.5	16	Paxton	Pig	NRPa	94.989	2	2	Pig5.jpg
108.505	4	0	1.5	17	Lonnie	Lion	NRPb	100.49	2	2	Lion3.jpg
114.005	4	0	5	18	Gifford	Giraffe	RPminus	105.99	2	2	Giraffe7.jpg
123.006	4	0	1	19	Luka	Lion	NRPb	114.99	2	2	Lion8.jpg
128.006	4	0	1.5	20	Pryor	Pig	NRPa	119.991	2	2	Pig4.jpg
133.506	4	0	1	21	Ewan	Elephant	RPminus	125.491	2	2	Elephant3.jpg
138.506	4	0	1.5	22	Alden	Ape	RPplus	128.512	2	2	Ape3.jpg
144.006	4	0	2.5	23	Gordie	Giraffe	RPminus	135.991	2	2	Giraffe4.jpg
