onset	duration	trial	ProperName	categ	cond	restudyDuration	stim_file
20.001	8	1	Luka	Lion	RPplus	2	Lion7.jpg
28.001	8	2	Olaf	Otter	NRPb	2	Otter8.jpg
36.001	8	3	Patrice	Pig	NRPa	2	Pig2.jpg
44.002	8	4	Lester	Lion	RPminus	2	Lion6.jpg
52.002	8	5	Lonnie	Lion	RPminus	2	Lion8.jpg
60.002	8	6	Griswold	Giraffe	RPplus	2	Giraffe6.jpg
68.002	8	7	Gordie	Giraffe	RPplus	2	Giraffe4.jpg
76.002	8	8	Gifford	Giraffe	RPminus	2	Giraffe1.jpg
84.002	8	9	Pearson	Pig	NRPb	2	Pig6.jpg
92.003	8	10	Parrish	Pig	NRPb	2	Pig7.jpg
100.003	8	11	Asher	Ape	NRPa	2	Ape5.jpg
108.003	8	12	Egan	Elephant	RPplus	2	Elephant2.jpg
116.003	8	13	Godwin	Giraffe	RPminus	2	Giraffe3.jpg
124.003	8	14	Prescott	Pig	NRPa	2	Pig8.jpg
132.004	8	15	Edbert	Elephant	RPminus	2	Elephant4.jpg
140.004	8	16	Abner	Ape	NRPb	2	Ape3.jpg
148.004	8	17	Osgood	Otter	NRPa	2	Otter3.jpg
156.004	8	18	Linton	Lion	RPminus	2	Lion3.jpg
164.004	8	19	Arlen	Ape	NRPb	2	Ape6.jpg
172.005	8	20	Elden	Elephant	RPplus	2	Elephant6.jpg
180.005	8	21	Garret	Giraffe	RPplus	2	Giraffe8.jpg
188.005	8	22	Efren	Elephant	RPminus	2	Elephant1.jpg
196.005	8	23	Luther	Lion	RPplus	2	Lion2.jpg
204.006	8	24	Paxton	Pig	NRPa	2	Pig1.jpg
212.006	8	25	Omar	Otter	NRPb	2	Otter1.jpg
220.006	8	26	Anton	Ape	NRPa	2	Ape2.jpg
228.006	8	27	Oakley	Otter	NRPa	2	Otter7.jpg
236.007	8	28	Landin	Lion	RPplus	2	Lion1.jpg
244.007	8	29	Ewan	Elephant	RPminus	2	Elephant7.jpg
252.007	8	30	Ennis	Elephant	RPplus	2	Elephant8.jpg
260.007	8	31	Odin	Otter	NRPa	2	Otter5.jpg
268.008	8	32	Percy	Pig	NRPa	2	Pig5.jpg
276.008	8	33	Emmet	Elephant	RPplus	2	Elephant5.jpg
284.008	8	34	Amos	Ape	NRPa	2	Ape8.jpg
292.008	8	35	Perry	Pig	NRPb	2	Pig3.jpg
300.008	8	36	Gino	Giraffe	RPminus	2	Giraffe7.jpg
308.009	8	37	Glenworth	Giraffe	RPminus	2	Giraffe5.jpg
316.009	8	38	Amin	Ape	NRPb	2	Ape1.jpg
324.009	8	39	Orrin	Otter	NRPa	2	Otter2.jpg
332.009	8	40	Alden	Ape	NRPb	2	Ape4.jpg
340.01	8	41	Gunther	Giraffe	RPplus	2	Giraffe2.jpg
348.01	8	42	Oxley	Otter	NRPb	2	Otter6.jpg
356.01	8	43	Levar	Lion	RPplus	2	Lion5.jpg
364.01	8	44	Leroy	Lion	RPminus	2	Lion4.jpg
372.011	8	45	Orson	Otter	NRPb	2	Otter4.jpg
380.011	8	46	Eton	Elephant	RPminus	2	Elephant3.jpg
388.011	8	47	Pryor	Pig	NRPb	2	Pig4.jpg
396.011	8	48	Angus	Ape	NRPa	2	Ape7.jpg
