onset	duration	onsetdelay	ITIduration	trial	ProperName	restudy?	categ	cond	vocalOnset	rpDuration	vocalDuration	stim_file
20.001	4	0	1	1	Edbert	0	Elephant	RPminus	11.988	2	2	Elephant4.jpg
25.001	4	1	1	2	Gino	0	Giraffe	RPminus	16.986	2	2	Giraffe7.jpg
30.002	4	1	1	3	Osgood	0	Otter	NRPa	21.986	2	2	Otter3.jpg
35.002	4	1	1.5	4	Gordie	0	Giraffe	RPplus	25.011	2	2	Giraffe4.jpg
40.502	4	1.5	1	5	Garret	0	Giraffe	RPplus	30.509	2	2	Giraffe8.jpg
45.502	4	1	2	6	Ewan	0	Elephant	RPminus	37.487	2	2	Elephant7.jpg
51.502	4	2	1	7	Prescott	0	Pig	NRPa	43.487	2	2	Pig8.jpg
56.503	4	1	2	8	Paxton	0	Pig	NRPa	48.488	2	2	Pig1.jpg
62.503	4	2	1	9	Parrish	0	Pig	NRPb	54.488	2	2	Pig7.jpg
67.503	4	1	1	10	Amos	0	Ape	NRPa	59.488	2	2	Ape8.jpg
72.504	4	1	1	11	Olaf	0	Otter	NRPb	64.488	2	2	Otter8.jpg
77.504	4	1	1.5	12	Emmet	0	Elephant	RPplus	67.512	2	2	Elephant5.jpg
83.004	4	1.5	2.5	13	Perry	0	Pig	NRPb	74.989	2	2	Pig3.jpg
89.504	4	2.5	1	14	Egan	0	Elephant	RPplus	79.51	2	2	Elephant2.jpg
94.505	4	1	1.5	15	Godwin	0	Giraffe	RPminus	86.489	2	2	Giraffe3.jpg
100.005	4	1.5	1	16	Ennis	0	Elephant	RPplus	90.013	2	2	Elephant8.jpg
105.005	4	1	2.5	17	Pryor	0	Pig	NRPb	96.99	2	2	Pig4.jpg
111.505	4	2.5	1	18	Omar	0	Otter	NRPb	103.49	2	2	Otter1.jpg
116.506	4	1	1	19	Efren	0	Elephant	RPminus	108.49	2	2	Elephant1.jpg
121.506	4	1	1.5	20	Landin	0	Lion	RPplus	111.512	2	2	Lion1.jpg
127.006	4	1.5	1	21	Patrice	0	Pig	NRPa	118.991	2	2	Pig2.jpg
132.006	4	1	1.5	22	Glenworth	0	Giraffe	RPminus	123.991	2	2	Giraffe5.jpg
137.507	4	1.5	2.5	23	Pearson	0	Pig	NRPb	129.491	2	2	Pig6.jpg
144.007	4	2.5	5	24	Luther	0	Lion	RPplus	134.014	2	2	Lion2.jpg
153.007	4	5	3.5	25	Griswold	0	Giraffe	RPplus	143.014	2	2	Giraffe6.jpg
160.507	4	3.5	1	26	Gifford	0	Giraffe	RPminus	152.492	2	2	Giraffe1.jpg
165.508	4	1	1	27	Percy	0	Pig	NRPa	157.492	2	2	Pig5.jpg
170.508	4	1	1	28	Asher	0	Ape	NRPa	162.492	2	2	Ape5.jpg
175.508	4	1	1	29	Odin	0	Otter	NRPa	167.493	2	2	Otter5.jpg
180.508	4	1	2.5	30	Elden	0	Elephant	RPplus	170.515	2	2	Elephant6.jpg
187.009	4	2.5	1	31	Gunther	0	Giraffe	RPplus	177.015	2	2	Giraffe2.jpg
192.009	4	1	4.5	32	Lonnie	0	Lion	RPminus	183.993	2	2	Lion8.jpg
200.509	4	4.5	1.5	33	Angus	0	Ape	NRPa	192.494	2	2	Ape7.jpg
206.009	4	1.5	1	34	Luka	0	Lion	RPplus	196.019	2	2	Lion7.jpg
211.01	4	1	2.5	35	Alden	0	Ape	NRPb	202.995	2	2	Ape4.jpg
217.51	4	2.5	2	36	Lester	0	Lion	RPminus	209.495	2	2	Lion6.jpg
223.51	4	2	1	37	Abner	0	Ape	NRPb	215.495	2	2	Ape3.jpg
