onset	duration	trial	ProperName	categ	cond	restudyDuration	stim_file
20.002	8	1	Pryor	Pig	RPplus	2	Pig8.jpg
28.003	8	2	Osgood	Otter	NRPb	2	Otter8.jpg
36.003	8	3	Oxley	Otter	NRPa	2	Otter5.jpg
44.003	8	4	Oakley	Otter	NRPb	2	Otter3.jpg
52.003	8	5	Gordie	Giraffe	NRPb	2	Giraffe8.jpg
60.003	8	6	Leroy	Lion	NRPa	2	Lion3.jpg
68.004	8	7	Gunther	Giraffe	NRPb	2	Giraffe5.jpg
76.004	8	8	Efren	Elephant	RPminus	2	Elephant4.jpg
84.004	8	9	Garret	Giraffe	NRPa	2	Giraffe7.jpg
92.004	8	10	Landin	Lion	NRPa	2	Lion5.jpg
100.004	8	11	Edbert	Elephant	RPplus	2	Elephant3.jpg
108.004	8	12	Eton	Elephant	RPplus	2	Elephant8.jpg
116.005	8	13	Orson	Otter	NRPb	2	Otter1.jpg
124.005	8	14	Alden	Ape	RPplus	2	Ape7.jpg
132.005	8	15	Elden	Elephant	RPplus	2	Elephant2.jpg
140.005	8	16	Abner	Ape	RPplus	2	Ape1.jpg
148.006	8	17	Paxton	Pig	RPplus	2	Pig6.jpg
156.006	8	18	Emmet	Elephant	RPminus	2	Elephant5.jpg
164.006	8	19	Godwin	Giraffe	NRPa	2	Giraffe3.jpg
172.006	8	20	Orrin	Otter	NRPb	2	Otter7.jpg
180.006	8	21	Glenworth	Giraffe	NRPb	2	Giraffe6.jpg
188.007	8	22	Anton	Ape	RPplus	2	Ape4.jpg
196.007	8	23	Gifford	Giraffe	NRPa	2	Giraffe4.jpg
204.007	8	24	Perry	Pig	RPminus	2	Pig5.jpg
212.007	8	25	Asher	Ape	RPplus	2	Ape5.jpg
220.007	8	26	Ennis	Elephant	RPminus	2	Elephant6.jpg
228.008	8	27	Linton	Lion	NRPa	2	Lion8.jpg
236.008	8	28	Prescott	Pig	RPminus	2	Pig4.jpg
244.008	8	29	Luther	Lion	NRPb	2	Lion7.jpg
252.008	8	30	Gino	Giraffe	NRPa	2	Giraffe2.jpg
260.009	8	31	Parrish	Pig	RPminus	2	Pig7.jpg
268.009	8	32	Angus	Ape	RPminus	2	Ape2.jpg
276.009	8	33	Amin	Ape	RPminus	2	Ape6.jpg
284.009	8	34	Odin	Otter	NRPa	2	Otter4.jpg
292.009	8	35	Pearson	Pig	RPminus	2	Pig3.jpg
300.01	8	36	Ewan	Elephant	RPminus	2	Elephant1.jpg
308.01	8	37	Amos	Ape	RPminus	2	Ape8.jpg
316.01	8	38	Luka	Lion	NRPb	2	Lion1.jpg
324.01	8	39	Arlen	Ape	RPminus	2	Ape3.jpg
332.01	8	40	Griswold	Giraffe	NRPb	2	Giraffe1.jpg
340.011	8	41	Omar	Otter	NRPa	2	Otter6.jpg
348.011	8	42	Percy	Pig	RPplus	2	Pig1.jpg
356.011	8	43	Olaf	Otter	NRPa	2	Otter2.jpg
364.011	8	44	Patrice	Pig	RPplus	2	Pig2.jpg
372.012	8	45	Lester	Lion	NRPb	2	Lion2.jpg
380.012	8	46	Egan	Elephant	RPplus	2	Elephant7.jpg
388.012	8	47	Levar	Lion	NRPb	2	Lion4.jpg
396.012	8	48	Lonnie	Lion	NRPa	2	Lion6.jpg
