onset	duration	trial	ProperName	categ	cond	restudyDuration	stim_file
20.001	8	1	Amos	Ape	NRPb	2	Ape1.jpg
28.001	8	2	Percy	Pig	RPminus	2	Pig3.jpg
36.001	8	3	Paxton	Pig	RPplus	2	Pig1.jpg
44.001	8	4	Oxley	Otter	RPplus	2	Otter1.jpg
52.001	8	5	Leroy	Lion	RPminus	2	Lion3.jpg
60.001	8	6	Omar	Otter	RPplus	2	Otter3.jpg
68.002	8	7	Abner	Ape	NRPa	2	Ape4.jpg
76.002	8	8	Gifford	Giraffe	NRPa	2	Giraffe3.jpg
84.002	8	9	Osgood	Otter	RPminus	2	Otter7.jpg
92.002	8	10	Landin	Lion	RPminus	2	Lion5.jpg
100.002	8	11	Luka	Lion	RPminus	2	Lion1.jpg
108.002	8	12	Pryor	Pig	RPminus	2	Pig8.jpg
116.003	8	13	Efren	Elephant	NRPa	2	Elephant5.jpg
124.003	8	14	Orrin	Otter	RPminus	2	Otter5.jpg
132.003	8	15	Oakley	Otter	RPminus	2	Otter8.jpg
140.003	8	16	Gordie	Giraffe	NRPb	2	Giraffe5.jpg
148.004	8	17	Olaf	Otter	RPminus	2	Otter2.jpg
156.004	8	18	Anton	Ape	NRPa	2	Ape6.jpg
164.004	8	19	Linton	Lion	RPplus	2	Lion8.jpg
172.004	8	20	Arlen	Ape	NRPa	2	Ape8.jpg
180.004	8	21	Griswold	Giraffe	NRPa	2	Giraffe4.jpg
188.005	8	22	Glenworth	Giraffe	NRPb	2	Giraffe1.jpg
196.005	8	23	Garret	Giraffe	NRPb	2	Giraffe7.jpg
204.005	8	24	Pearson	Pig	RPplus	2	Pig4.jpg
212.005	8	25	Emmet	Elephant	NRPb	2	Elephant2.jpg
220.005	8	26	Prescott	Pig	RPminus	2	Pig5.jpg
228.006	8	27	Parrish	Pig	RPplus	2	Pig6.jpg
236.006	8	28	Lester	Lion	RPplus	2	Lion6.jpg
244.006	8	29	Egan	Elephant	NRPa	2	Elephant3.jpg
252.006	8	30	Asher	Ape	NRPa	2	Ape5.jpg
260.006	8	31	Ennis	Elephant	NRPa	2	Elephant6.jpg
268.007	8	32	Patrice	Pig	RPminus	2	Pig7.jpg
276.007	8	33	Odin	Otter	RPplus	2	Otter4.jpg
284.007	8	34	Levar	Lion	RPplus	2	Lion2.jpg
292.007	8	35	Orson	Otter	RPplus	2	Otter6.jpg
300.008	8	36	Godwin	Giraffe	NRPa	2	Giraffe2.jpg
308.008	8	37	Elden	Elephant	NRPb	2	Elephant8.jpg
316.008	8	38	Alden	Ape	NRPb	2	Ape7.jpg
324.008	8	39	Eton	Elephant	NRPa	2	Elephant7.jpg
332.008	8	40	Gino	Giraffe	NRPa	2	Giraffe8.jpg
340.008	8	41	Luther	Lion	RPplus	2	Lion4.jpg
348.008	8	42	Amin	Ape	NRPb	2	Ape3.jpg
356.008	8	43	Ewan	Elephant	NRPb	2	Elephant1.jpg
364.009	8	44	Angus	Ape	NRPb	2	Ape2.jpg
372.009	8	45	Perry	Pig	RPplus	2	Pig2.jpg
380.009	8	46	Edbert	Elephant	NRPb	2	Elephant4.jpg
388.009	8	47	Gunther	Giraffe	NRPb	2	Giraffe6.jpg
396.009	8	48	Lonnie	Lion	RPminus	2	Lion7.jpg
