onset	duration	trial	ProperName	categ	cond	restudyDuration	stim_file
20.002	8	1	Oxley	Otter	RPplus	2	Otter3.jpg
28.002	8	2	Griswold	Giraffe	RPminus	2	Giraffe4.jpg
36.002	8	3	Egan	Elephant	NRPb	2	Elephant2.jpg
44.002	8	4	Gino	Giraffe	RPplus	2	Giraffe2.jpg
52.003	8	5	Angus	Ape	NRPa	2	Ape2.jpg
60.003	8	6	Parrish	Pig	NRPa	2	Pig2.jpg
68.003	8	7	Osgood	Otter	RPplus	2	Otter1.jpg
76.003	8	8	Pearson	Pig	NRPa	2	Pig7.jpg
84.003	8	9	Oakley	Otter	RPminus	2	Otter7.jpg
92.004	8	10	Godwin	Giraffe	RPminus	2	Giraffe7.jpg
100.004	8	11	Lester	Lion	RPplus	2	Lion7.jpg
108.004	8	12	Ewan	Elephant	NRPa	2	Elephant5.jpg
116.004	8	13	Pryor	Pig	NRPb	2	Pig4.jpg
124.004	8	14	Lonnie	Lion	RPplus	2	Lion2.jpg
132.005	8	15	Emmet	Elephant	NRPa	2	Elephant3.jpg
140.005	8	16	Abner	Ape	NRPb	2	Ape5.jpg
148.005	8	17	Amos	Ape	NRPb	2	Ape1.jpg
156.005	8	18	Orson	Otter	RPminus	2	Otter5.jpg
164.005	8	19	Luther	Lion	RPminus	2	Lion1.jpg
172.006	8	20	Paxton	Pig	NRPa	2	Pig5.jpg
180.006	8	21	Ennis	Elephant	NRPa	2	Elephant7.jpg
188.006	8	22	Asher	Ape	NRPa	2	Ape3.jpg
196.006	8	23	Prescott	Pig	NRPb	2	Pig6.jpg
204.006	8	24	Gordie	Giraffe	RPplus	2	Giraffe5.jpg
212.006	8	25	Linton	Lion	RPminus	2	Lion6.jpg
220.007	8	26	Anton	Ape	NRPa	2	Ape7.jpg
228.007	8	27	Patrice	Pig	NRPa	2	Pig8.jpg
236.007	8	28	Percy	Pig	NRPb	2	Pig1.jpg
244.007	8	29	Amin	Ape	NRPb	2	Ape6.jpg
252.008	8	30	Garret	Giraffe	RPminus	2	Giraffe3.jpg
260.008	8	31	Alden	Ape	NRPb	2	Ape8.jpg
268.008	8	32	Gunther	Giraffe	RPplus	2	Giraffe1.jpg
276.008	8	33	Landin	Lion	RPplus	2	Lion5.jpg
284.009	8	34	Glenworth	Giraffe	RPminus	2	Giraffe8.jpg
292.009	8	35	Eton	Elephant	NRPb	2	Elephant1.jpg
300.009	8	36	Olaf	Otter	RPminus	2	Otter8.jpg
308.009	8	37	Orrin	Otter	RPplus	2	Otter2.jpg
316.009	8	38	Levar	Lion	RPminus	2	Lion4.jpg
324.009	8	39	Luka	Lion	RPminus	2	Lion3.jpg
332.01	8	40	Omar	Otter	RPminus	2	Otter6.jpg
340.01	8	41	Leroy	Lion	RPplus	2	Lion8.jpg
348.01	8	42	Elden	Elephant	NRPb	2	Elephant4.jpg
356.01	8	43	Perry	Pig	NRPb	2	Pig3.jpg
364.01	8	44	Efren	Elephant	NRPb	2	Elephant6.jpg
372.011	8	45	Arlen	Ape	NRPa	2	Ape4.jpg
380.011	8	46	Edbert	Elephant	NRPa	2	Elephant8.jpg
388.011	8	47	Odin	Otter	RPplus	2	Otter4.jpg
396.011	8	48	Gifford	Giraffe	RPplus	2	Giraffe6.jpg
