onset	duration	onsetdelay	ITIduration	trial	ProperName	categ	cond	vocalOnset	rpDuration	vocalDuration	stim_file
20.002	4	0	1.5	1	Ennis	Elephant	NRPa	11.986	2	2	Elephant7.jpg
25.502	4	0	2.5	2	Glenworth	Giraffe	RPminus	17.486	2	2	Giraffe8.jpg
32.002	4	0	1.5	3	Oakley	Otter	RPminus	23.987	2	2	Otter7.jpg
37.502	4	0	2	4	Griswold	Giraffe	RPminus	29.487	2	2	Giraffe4.jpg
43.502	4	0	1.5	5	Percy	Pig	NRPb	35.487	2	2	Pig1.jpg
49.003	4	0	1.5	6	Luka	Lion	RPminus	40.987	2	2	Lion3.jpg
54.503	4	0	1	7	Gordie	Giraffe	RPplus	44.51	2	2	Giraffe5.jpg
59.503	4	0	1.5	8	Lonnie	Lion	RPplus	49.511	2	2	Lion2.jpg
65.004	4	0	1.5	9	Anton	Ape	NRPa	56.988	2	2	Ape7.jpg
70.504	4	0	1	10	Pearson	Pig	NRPa	62.488	2	2	Pig7.jpg
75.504	4	0	1	11	Landin	Lion	RPplus	65.512	2	2	Lion5.jpg
80.504	4	0	1.5	12	Osgood	Otter	RPplus	70.511	2	2	Otter1.jpg
86.005	4	0	3.5	13	Edbert	Elephant	NRPa	77.989	2	2	Elephant8.jpg
93.505	4	0	2	14	Orrin	Otter	RPplus	83.512	2	2	Otter2.jpg
99.505	4	0	1.5	15	Arlen	Ape	NRPa	91.49	2	2	Ape4.jpg
105.005	4	0	1	16	Gifford	Giraffe	RPplus	95.012	2	2	Giraffe6.jpg
110.006	4	0	1.5	17	Emmet	Elephant	NRPa	101.99	2	2	Elephant3.jpg
115.506	4	0	1.5	18	Alden	Ape	NRPb	107.49	2	2	Ape8.jpg
121.006	4	0	1.5	19	Leroy	Lion	RPplus	111.013	2	2	Lion8.jpg
126.506	4	0	2	20	Levar	Lion	RPminus	118.491	2	2	Lion4.jpg
132.507	4	0	1	21	Efren	Elephant	NRPb	124.492	2	2	Elephant6.jpg
137.507	4	0	1	22	Olaf	Otter	RPminus	129.492	2	2	Otter8.jpg
142.507	4	0	1	23	Abner	Ape	NRPb	134.492	2	2	Ape5.jpg
147.508	4	0	2	24	Parrish	Pig	NRPa	139.492	2	2	Pig2.jpg
153.508	4	0	1	25	Patrice	Pig	NRPa	145.492	2	2	Pig8.jpg
158.508	4	0	3	26	Omar	Otter	RPminus	150.493	2	2	Otter6.jpg
165.509	4	0	1	27	Perry	Pig	NRPb	157.494	2	2	Pig3.jpg
170.509	4	0	1	28	Oxley	Otter	RPplus	160.516	2	2	Otter3.jpg
175.509	4	0	1.5	29	Amos	Ape	NRPb	167.493	2	2	Ape1.jpg
181.009	4	0	1	30	Odin	Otter	RPplus	171.016	2	2	Otter4.jpg
186.01	4	0	2.5	31	Lester	Lion	RPplus	176.019	2	2	Lion7.jpg
192.51	4	0	2	32	Eton	Elephant	NRPb	184.495	2	2	Elephant1.jpg
198.51	4	0	1	33	Asher	Ape	NRPa	190.495	2	2	Ape3.jpg
203.51	4	0	2.5	34	Amin	Ape	NRPb	195.495	2	2	Ape6.jpg
210.011	4	0	1	35	Elden	Elephant	NRPb	201.996	2	2	Elephant4.jpg
215.011	4	0	1	36	Prescott	Pig	NRPb	206.996	2	2	Pig6.jpg
220.011	4	0	1	37	Paxton	Pig	NRPa	211.996	2	2	Pig5.jpg
225.011	4	0	2	38	Garret	Giraffe	RPminus	216.996	2	2	Giraffe3.jpg
231.012	4	0	1.5	39	Pryor	Pig	NRPb	222.996	2	2	Pig4.jpg
236.512	4	0	1	40	Ewan	Elephant	NRPa	228.497	2	2	Elephant5.jpg
241.512	4	0	3.5	41	Angus	Ape	NRPa	233.497	2	2	Ape2.jpg
249.013	4	0	1.5	42	Gunther	Giraffe	RPplus	239.019	2	2	Giraffe1.jpg
254.513	4	0	1	43	Angus	Ape	NRPa	246.498	2	2	Ape2.jpg
259.513	4	0	1.5	44	Linton	Lion	RPminus	251.498	2	2	Lion6.jpg
265.013	4	0	2	45	Orson	Otter	RPminus	256.998	2	2	Otter5.jpg
271.013	4	0	1	46	Egan	Elephant	NRPb	262.998	2	2	Elephant2.jpg
276.014	4	0	1	47	Luther	Lion	RPminus	267.998	2	2	Lion1.jpg
281.014	4	0	1	48	Godwin	Giraffe	RPminus	272.999	2	2	Giraffe7.jpg
286.014	4	0	3	49	Gino	Giraffe	RPplus	276.021	2	2	Giraffe2.jpg
293.015	4	0	1	50	Orson	Otter	RPminus	284.999	2	2	Otter5.jpg
298.015	4	0	3	51	Luka	Lion	RPminus	290	2	2	Lion3.jpg
305.015	4	0	3	52	Eton	Elephant	NRPb	297	2	2	Elephant1.jpg
312.015	4	0	1.5	53	Parrish	Pig	NRPa	304	2	2	Pig2.jpg
317.516	4	0	3.5	54	Gunther	Giraffe	RPplus	307.522	2	2	Giraffe1.jpg
325.016	4	0	1	55	Abner	Ape	NRPb	317.001	2	2	Ape5.jpg
330.016	4	0	2	56	Anton	Ape	NRPa	322.001	2	2	Ape7.jpg
336.017	4	0	1	57	Gordie	Giraffe	RPplus	326.023	2	2	Giraffe5.jpg
341.017	4	0	1	58	Arlen	Ape	NRPa	333.002	2	2	Ape4.jpg
346.017	4	0	1.5	59	Amos	Ape	NRPb	338.002	2	2	Ape1.jpg
351.517	4	0	1.5	60	Efren	Elephant	NRPb	343.502	2	2	Elephant6.jpg
357.018	4	0	3	61	Perry	Pig	NRPb	349.002	2	2	Pig3.jpg
364.018	4	0	1	62	Alden	Ape	NRPb	356.003	2	2	Ape8.jpg
369.018	4	0	1	63	Orrin	Otter	RPplus	359.026	2	2	Otter2.jpg
374.019	4	0	1	64	Ewan	Elephant	NRPa	366.003	2	2	Elephant5.jpg
379.019	4	0	1	65	Lester	Lion	RPplus	369.028	2	2	Lion7.jpg
384.019	4	0	2.5	66	Amin	Ape	NRPb	376.004	2	2	Ape6.jpg
390.519	4	0	2.5	67	Linton	Lion	RPminus	382.504	2	2	Lion6.jpg
397.019	4	0	1.5	68	Griswold	Giraffe	RPminus	389.004	2	2	Giraffe4.jpg
402.52	4	0	3	69	Levar	Lion	RPminus	394.504	2	2	Lion4.jpg
409.52	4	0	1.5	70	Olaf	Otter	RPminus	401.505	2	2	Otter8.jpg
415.02	4	0	1	71	Egan	Elephant	NRPb	407.005	2	2	Elephant2.jpg
420.021	4	0	1	72	Odin	Otter	RPplus	410.028	2	2	Otter4.jpg
425.021	4	0	2	73	Leroy	Lion	RPplus	415.028	2	2	Lion8.jpg
431.021	4	0	1	74	Emmet	Elephant	NRPa	423.006	2	2	Elephant3.jpg
436.021	4	0	1	75	Luther	Lion	RPminus	428.006	2	2	Lion1.jpg
441.022	4	0	2	76	Pearson	Pig	NRPa	433.006	2	2	Pig7.jpg
447.022	4	0	3.5	77	Oxley	Otter	RPplus	437.029	2	2	Otter3.jpg
454.522	4	0	2.5	78	Godwin	Giraffe	RPminus	446.507	2	2	Giraffe7.jpg
461.022	4	0	2.5	79	Ennis	Elephant	NRPa	453.007	2	2	Elephant7.jpg
467.523	4	0	1	80	Gino	Giraffe	RPplus	457.53	2	2	Giraffe2.jpg
472.523	4	0	2.5	81	Gifford	Giraffe	RPplus	462.53	2	2	Giraffe6.jpg
479.023	4	0	2.5	82	Prescott	Pig	NRPb	471.008	2	2	Pig6.jpg
485.524	4	0	3	83	Garret	Giraffe	RPminus	477.508	2	2	Giraffe3.jpg
492.524	4	0	1	84	Landin	Lion	RPplus	482.532	2	2	Lion5.jpg
497.524	4	0	1	85	Paxton	Pig	NRPa	489.509	2	2	Pig5.jpg
502.525	4	0	1.5	86	Elden	Elephant	NRPb	494.509	2	2	Elephant4.jpg
508.025	4	0	2.5	87	Percy	Pig	NRPb	500.01	2	2	Pig1.jpg
514.525	4	0	1	88	Lonnie	Lion	RPplus	504.533	2	2	Lion2.jpg
519.526	4	0	2	89	Asher	Ape	NRPa	511.51	2	2	Ape3.jpg
525.526	4	0	1	90	Edbert	Elephant	NRPa	517.511	2	2	Elephant8.jpg
530.526	4	0	1.5	91	Patrice	Pig	NRPa	522.511	2	2	Pig8.jpg
536.026	4	0	2	92	Osgood	Otter	RPplus	526.034	2	2	Otter1.jpg
542.027	4	0	2.5	93	Glenworth	Giraffe	RPminus	534.011	2	2	Giraffe8.jpg
548.527	4	0	1	94	Omar	Otter	RPminus	540.512	2	2	Otter6.jpg
553.527	4	0	1	95	Oakley	Otter	RPminus	545.512	2	2	Otter7.jpg
558.528	4	0	7.5	96	Pryor	Pig	NRPb	550.512	2	2	Pig4.jpg
