onset	duration	trial	ProperName	categ	cond	restudyDuration	stim_file
20.001	8	1	Paxton	Pig	NRPa	2	Pig5.jpg
28.001	8	2	Amos	Ape	NRPb	2	Ape1.jpg
36.001	8	3	Griswold	Giraffe	RPminus	2	Giraffe4.jpg
44.002	8	4	Garret	Giraffe	RPminus	2	Giraffe3.jpg
52.002	8	5	Gunther	Giraffe	RPplus	2	Giraffe1.jpg
60.002	8	6	Gino	Giraffe	RPplus	2	Giraffe2.jpg
68.003	8	7	Gordie	Giraffe	RPplus	2	Giraffe5.jpg
76.003	8	8	Parrish	Pig	NRPa	2	Pig2.jpg
84.003	8	9	Patrice	Pig	NRPa	2	Pig8.jpg
92.003	8	10	Efren	Elephant	NRPb	2	Elephant6.jpg
100.003	8	11	Oakley	Otter	RPminus	2	Otter7.jpg
108.004	8	12	Pearson	Pig	NRPa	2	Pig7.jpg
116.004	8	13	Edbert	Elephant	NRPa	2	Elephant8.jpg
124.004	8	14	Eton	Elephant	NRPb	2	Elephant1.jpg
132.004	8	15	Percy	Pig	NRPb	2	Pig1.jpg
140.004	8	16	Luther	Lion	RPminus	2	Lion1.jpg
148.005	8	17	Asher	Ape	NRPa	2	Ape3.jpg
156.005	8	18	Lester	Lion	RPplus	2	Lion7.jpg
164.005	8	19	Orrin	Otter	RPplus	2	Otter2.jpg
172.005	8	20	Abner	Ape	NRPb	2	Ape5.jpg
180.005	8	21	Levar	Lion	RPminus	2	Lion4.jpg
188.005	8	22	Luka	Lion	RPminus	2	Lion3.jpg
196.006	8	23	Alden	Ape	NRPb	2	Ape8.jpg
204.006	8	24	Anton	Ape	NRPa	2	Ape7.jpg
212.006	8	25	Leroy	Lion	RPplus	2	Lion8.jpg
220.006	8	26	Landin	Lion	RPplus	2	Lion5.jpg
228.006	8	27	Linton	Lion	RPminus	2	Lion6.jpg
236.007	8	28	Omar	Otter	RPminus	2	Otter6.jpg
244.007	8	29	Amin	Ape	NRPb	2	Ape6.jpg
252.007	8	30	Elden	Elephant	NRPb	2	Elephant4.jpg
260.007	8	31	Lonnie	Lion	RPplus	2	Lion2.jpg
268.007	8	32	Olaf	Otter	RPminus	2	Otter8.jpg
276.008	8	33	Egan	Elephant	NRPb	2	Elephant2.jpg
284.008	8	34	Arlen	Ape	NRPa	2	Ape4.jpg
292.008	8	35	Perry	Pig	NRPb	2	Pig3.jpg
300.008	8	36	Ennis	Elephant	NRPa	2	Elephant7.jpg
308.008	8	37	Godwin	Giraffe	RPminus	2	Giraffe7.jpg
316.009	8	38	Prescott	Pig	NRPb	2	Pig6.jpg
324.009	8	39	Angus	Ape	NRPa	2	Ape2.jpg
332.009	8	40	Gifford	Giraffe	RPplus	2	Giraffe6.jpg
340.009	8	41	Ewan	Elephant	NRPa	2	Elephant5.jpg
348.01	8	42	Osgood	Otter	RPplus	2	Otter1.jpg
356.01	8	43	Oxley	Otter	RPplus	2	Otter3.jpg
364.01	8	44	Glenworth	Giraffe	RPminus	2	Giraffe8.jpg
372.01	8	45	Orson	Otter	RPminus	2	Otter5.jpg
380.011	8	46	Odin	Otter	RPplus	2	Otter4.jpg
388.011	8	47	Emmet	Elephant	NRPa	2	Elephant3.jpg
396.011	8	48	Pryor	Pig	NRPb	2	Pig4.jpg
