onset	duration	onsetdelay	ITIduration	trial	ProperName	categ	cond	vocalOnset	rpDuration	vocalDuration	stim_file
20.001	4	0	1.5	1	Ennis	Elephant	RPplus	10.011	2	2	Elephant4.jpg
25.501	4	1.5	1	2	Amos	Ape	RPplus	15.508	2	2	Ape5.jpg
30.502	4	1	2.5	3	Perry	Pig	RPminus	22.488	2	2	Pig2.jpg
37.002	4	2.5	1	4	Prescott	Pig	RPplus	27.009	2	2	Pig3.jpg
42.002	4	1	1	5	Eton	Elephant	RPminus	33.987	2	2	Elephant5.jpg
47.003	4	1	1	6	Patrice	Pig	RPplus	37.009	2	2	Pig7.jpg
52.003	4	1	5.5	7	Abner	Ape	RPplus	42.009	2	2	Ape2.jpg
61.503	4	5.5	1	8	Gino	Giraffe	NRPb	53.488	2	2	Giraffe8.jpg
66.503	4	1	2	9	Omar	Otter	NRPa	58.488	2	2	Otter3.jpg
72.504	4	2	1	10	Oxley	Otter	NRPb	64.488	2	2	Otter5.jpg
77.504	4	1	1	11	Angus	Ape	RPplus	67.511	2	2	Ape7.jpg
82.504	4	1	1	12	Pryor	Pig	RPminus	74.489	2	2	Pig5.jpg
87.505	4	1	1	13	Leroy	Lion	NRPa	79.489	2	2	Lion2.jpg
92.505	4	1	1.5	14	Anton	Ape	RPminus	84.49	2	2	Ape1.jpg
98.005	4	1.5	1	15	Orrin	Otter	NRPb	89.99	2	2	Otter6.jpg
103.005	4	1	1.5	16	Olaf	Otter	NRPa	94.99	2	2	Otter7.jpg
108.506	4	1.5	1.5	17	Orson	Otter	NRPb	100.49	2	2	Otter1.jpg
114.006	4	1.5	5	18	Arlen	Ape	RPminus	105.991	2	2	Ape3.jpg
123.006	4	5	1	19	Gifford	Giraffe	NRPb	114.991	2	2	Giraffe1.jpg
128.006	4	1	1.5	20	Garret	Giraffe	NRPa	119.991	2	2	Giraffe6.jpg
133.506	4	1.5	1	21	Elden	Elephant	RPminus	125.491	2	2	Elephant2.jpg
138.507	4	1	1.5	22	Ewan	Elephant	RPplus	128.515	2	2	Elephant8.jpg
144.007	4	1.5	2.5	23	Asher	Ape	RPminus	135.992	2	2	Ape8.jpg
150.507	4	2.5	3	24	Egan	Elephant	RPminus	142.492	2	2	Elephant6.jpg
157.507	4	3	1	25	Linton	Lion	NRPb	149.492	2	2	Lion8.jpg
162.508	4	1	1	26	Amin	Ape	RPminus	154.492	2	2	Ape6.jpg
167.508	4	1	4.5	27	Edbert	Elephant	RPplus	157.515	2	2	Elephant3.jpg
176.008	4	4.5	1	28	Luther	Lion	NRPa	167.993	2	2	Lion1.jpg
181.009	4	1	1	29	Luka	Lion	NRPb	172.993	2	2	Lion5.jpg
186.009	4	1	1	30	Lester	Lion	NRPb	177.994	2	2	Lion7.jpg
191.009	4	1	1	31	Griswold	Giraffe	NRPb	182.994	2	2	Giraffe5.jpg
196.009	4	1	2.5	32	Pearson	Pig	RPplus	186.015	2	2	Pig4.jpg
202.51	4	2.5	2	33	Landin	Lion	NRPa	194.494	2	2	Lion4.jpg
208.51	4	2	3	34	Parrish	Pig	RPminus	200.494	2	2	Pig8.jpg
215.51	4	3	1.5	35	Emmet	Elephant	RPplus	205.517	2	2	Elephant1.jpg
221.01	4	1.5	1.5	36	Paxton	Pig	RPplus	211.017	2	2	Pig6.jpg
226.511	4	1.5	1	37	Godwin	Giraffe	NRPa	218.495	2	2	Giraffe3.jpg
231.511	4	1	3.5	38	Glenworth	Giraffe	NRPa	223.496	2	2	Giraffe4.jpg
239.011	4	3.5	1	39	Alden	Ape	RPplus	229.018	2	2	Ape4.jpg
244.012	4	1	1.5	40	Gunther	Giraffe	NRPb	235.996	2	2	Giraffe7.jpg
249.512	4	1.5	2	41	Paxton	Pig	RPplus	239.518	2	2	Pig6.jpg
