onset	duration	onsetdelay	ITIduration	trial	ProperName	categ	cond	vocalOnset	rpDuration	vocalDuration	stim_file
20.001	4	0	1.5	1	Levar	Lion	NRPa	11.988	2	2	Lion2.jpg
25.502	4	0	2.5	2	Emmet	Elephant	RPminus	17.486	2	2	Elephant1.jpg
32.002	4	0	1.5	3	Gordie	Giraffe	RPminus	23.987	2	2	Giraffe4.jpg
37.502	4	0	2	4	Angus	Ape	RPminus	29.487	2	2	Ape8.jpg
43.502	4	0	1.5	5	Oxley	Otter	NRPb	35.487	2	2	Otter6.jpg
49.003	4	0	1.5	6	Gifford	Giraffe	RPminus	40.987	2	2	Giraffe7.jpg
54.503	4	0	1	7	Eton	Elephant	RPplus	44.513	2	2	Elephant5.jpg
59.503	4	0	1.5	8	Glenworth	Giraffe	RPplus	49.51	2	2	Giraffe8.jpg
65.003	4	0	1.5	9	Luther	Lion	NRPa	56.988	2	2	Lion4.jpg
70.504	4	0	1	10	Leroy	Lion	NRPa	62.488	2	2	Lion1.jpg
75.504	4	0	1	11	Edbert	Elephant	RPplus	65.51	2	2	Elephant6.jpg
80.504	4	0	1.5	12	Alden	Ape	RPplus	70.51	2	2	Ape5.jpg
86.004	4	0	3.5	13	Pryor	Pig	NRPa	77.989	2	2	Pig5.jpg
93.505	4	0	2	14	Gino	Giraffe	RPplus	83.511	2	2	Giraffe5.jpg
99.505	4	0	1.5	15	Perry	Pig	NRPa	91.49	2	2	Pig3.jpg
105.005	4	0	1	16	Anton	Ape	RPplus	95.012	2	2	Ape6.jpg
110.005	4	0	1.5	17	Odin	Otter	NRPa	101.99	2	2	Otter7.jpg
115.505	4	0	1.5	18	Linton	Lion	NRPb	107.49	2	2	Lion6.jpg
121.006	4	0	1.5	19	Godwin	Giraffe	RPplus	111.012	2	2	Giraffe1.jpg
126.506	4	0	2	20	Amos	Ape	RPminus	118.491	2	2	Ape3.jpg
132.506	4	0	1	21	Parrish	Pig	NRPb	124.491	2	2	Pig7.jpg
137.507	4	0	1	22	Garret	Giraffe	RPminus	129.491	2	2	Giraffe6.jpg
142.507	4	0	1	23	Prescott	Pig	NRPb	134.492	2	2	Pig4.jpg
147.507	4	0	2	24	Paxton	Pig	NRPa	139.492	2	2	Pig8.jpg
153.507	4	0	1	25	Luka	Lion	NRPa	145.492	2	2	Lion8.jpg
158.507	4	0	3	26	Ennis	Elephant	RPminus	150.492	2	2	Elephant3.jpg
165.508	4	0	1	27	Percy	Pig	NRPb	157.493	2	2	Pig6.jpg
170.508	4	0	1	28	Ewan	Elephant	RPplus	160.514	2	2	Elephant2.jpg
175.508	4	0	1.5	29	Lester	Lion	NRPb	167.493	2	2	Lion5.jpg
181.009	4	0	1	30	Asher	Ape	RPplus	171.016	2	2	Ape7.jpg
186.009	4	0	2.5	31	Abner	Ape	RPplus	176.016	2	2	Ape4.jpg
192.509	4	0	2	32	Lonnie	Lion	NRPb	184.494	2	2	Lion7.jpg
198.509	4	0	1	33	Orrin	Otter	NRPa	190.494	2	2	Otter8.jpg
203.509	4	0	2.5	34	Olaf	Otter	NRPb	195.494	2	2	Otter5.jpg
210.01	4	0	1	35	Oakley	Otter	NRPb	201.994	2	2	Otter1.jpg
215.01	4	0	1	36	Osgood	Otter	NRPb	206.995	2	2	Otter4.jpg
220.01	4	0	1	37	Orson	Otter	NRPa	211.995	2	2	Otter3.jpg
225.011	4	0	2	38	Efren	Elephant	RPminus	216.995	2	2	Elephant8.jpg
231.011	4	0	1.5	39	Pearson	Pig	NRPb	222.996	2	2	Pig1.jpg
236.511	4	0	1	40	Omar	Otter	NRPa	228.496	2	2	Otter2.jpg
241.512	4	0	3.5	41	Patrice	Pig	NRPa	233.496	2	2	Pig2.jpg
249.012	4	0	1.5	42	Egan	Elephant	RPplus	239.018	2	2	Elephant4.jpg
254.512	4	0	1	43	Patrice	Pig	NRPa	246.497	2	2	Pig2.jpg
259.512	4	0	1.5	44	Amin	Ape	RPminus	251.497	2	2	Ape2.jpg
265.013	4	0	2	45	Arlen	Ape	RPminus	256.997	2	2	Ape1.jpg
271.013	4	0	1	46	Landin	Lion	NRPb	262.998	2	2	Lion3.jpg
276.013	4	0	1	47	Gunther	Giraffe	RPminus	267.998	2	2	Giraffe2.jpg
281.014	4	0	1	48	Elden	Elephant	RPminus	272.998	2	2	Elephant7.jpg
286.014	4	0	3	49	Griswold	Giraffe	RPplus	276.02	2	2	Giraffe3.jpg
293.014	4	0	1	50	Garret	Giraffe	RPminus	284.999	2	2	Giraffe6.jpg
298.015	4	0	3	51	Amin	Ape	RPminus	289.999	2	2	Ape2.jpg
305.015	4	0	3	52	Percy	Pig	NRPb	297	2	2	Pig6.jpg
312.015	4	0	1.5	53	Omar	Otter	NRPa	304	2	2	Otter2.jpg
317.515	4	0	3.5	54	Ewan	Elephant	RPplus	307.522	2	2	Elephant2.jpg
325.016	4	0	1	55	Prescott	Pig	NRPb	317	2	2	Pig4.jpg
330.016	4	0	2	56	Odin	Otter	NRPa	322.001	2	2	Otter7.jpg
336.016	4	0	1	57	Abner	Ape	RPplus	326.023	2	2	Ape4.jpg
341.016	4	0	1	58	Leroy	Lion	NRPa	333.001	2	2	Lion1.jpg
346.017	4	0	1.5	59	Osgood	Otter	NRPb	338.001	2	2	Otter4.jpg
351.517	4	0	1.5	60	Lonnie	Lion	NRPb	343.501	2	2	Lion7.jpg
357.017	4	0	3	61	Linton	Lion	NRPb	349.002	2	2	Lion6.jpg
364.017	4	0	1	62	Pearson	Pig	NRPb	356.002	2	2	Pig1.jpg
369.017	4	0	1	63	Edbert	Elephant	RPplus	359.024	2	2	Elephant6.jpg
374.018	4	0	1	64	Levar	Lion	NRPa	366.003	2	2	Lion2.jpg
379.018	4	0	1	65	Gino	Giraffe	RPplus	369.024	2	2	Giraffe5.jpg
384.018	4	0	2.5	66	Oakley	Otter	NRPb	376.003	2	2	Otter1.jpg
390.518	4	0	2.5	67	Efren	Elephant	RPminus	382.503	2	2	Elephant8.jpg
397.019	4	0	1.5	68	Elden	Elephant	RPminus	389.003	2	2	Elephant7.jpg
402.519	4	0	3	69	Gifford	Giraffe	RPminus	394.503	2	2	Giraffe7.jpg
409.519	4	0	1.5	70	Arlen	Ape	RPminus	401.504	2	2	Ape1.jpg
415.019	4	0	1	71	Oxley	Otter	NRPb	407.004	2	2	Otter6.jpg
420.019	4	0	1	72	Anton	Ape	RPplus	410.027	2	2	Ape6.jpg
425.02	4	0	2	73	Griswold	Giraffe	RPplus	415.026	2	2	Giraffe3.jpg
431.02	4	0	1	74	Perry	Pig	NRPa	423.005	2	2	Pig3.jpg
436.02	4	0	1	75	Angus	Ape	RPminus	428.005	2	2	Ape8.jpg
441.02	4	0	2	76	Luther	Lion	NRPa	433.005	2	2	Lion4.jpg
447.02	4	0	3.5	77	Eton	Elephant	RPplus	437.028	2	2	Elephant5.jpg
454.521	4	0	2.5	78	Emmet	Elephant	RPminus	446.505	2	2	Elephant1.jpg
461.021	4	0	2.5	79	Orrin	Otter	NRPa	453.006	2	2	Otter8.jpg
467.521	4	0	1	80	Egan	Elephant	RPplus	457.528	2	2	Elephant4.jpg
472.521	4	0	2.5	81	Godwin	Giraffe	RPplus	462.528	2	2	Giraffe1.jpg
479.022	4	0	2.5	82	Olaf	Otter	NRPb	471.006	2	2	Otter5.jpg
485.522	4	0	3	83	Ennis	Elephant	RPminus	477.507	2	2	Elephant3.jpg
492.522	4	0	1	84	Glenworth	Giraffe	RPplus	482.529	2	2	Giraffe8.jpg
497.522	4	0	1	85	Paxton	Pig	NRPa	489.507	2	2	Pig8.jpg
502.523	4	0	1.5	86	Parrish	Pig	NRPb	494.508	2	2	Pig7.jpg
508.023	4	0	2.5	87	Landin	Lion	NRPb	500.008	2	2	Lion3.jpg
514.523	4	0	1	88	Asher	Ape	RPplus	504.53	2	2	Ape7.jpg
519.524	4	0	2	89	Luka	Lion	NRPa	511.508	2	2	Lion8.jpg
525.524	4	0	1	90	Orson	Otter	NRPa	517.508	2	2	Otter3.jpg
530.524	4	0	1.5	91	Pryor	Pig	NRPa	522.509	2	2	Pig5.jpg
536.024	4	0	2	92	Alden	Ape	RPplus	526.031	2	2	Ape5.jpg
542.025	4	0	2.5	93	Gunther	Giraffe	RPminus	534.01	2	2	Giraffe2.jpg
548.525	4	0	1	94	Amos	Ape	RPminus	540.51	2	2	Ape3.jpg
553.525	4	0	1	95	Gordie	Giraffe	RPminus	545.51	2	2	Giraffe4.jpg
558.526	4	0	7.5	96	Lester	Lion	NRPb	550.51	2	2	Lion5.jpg
