onset	duration	onsetdelay	ITIduration	trial	ProperName	categ	cond	vocalOnset	rpDuration	vocalDuration	stim_file
20.001	4	0	1.5	1	Luther	Lion	RPplus	10.008	2	2	Lion8.jpg
25.501	4	0	1	2	Godwin	Giraffe	RPplus	15.509	2	2	Giraffe8.jpg
30.502	4	0	2.5	3	Garret	Giraffe	RPminus	22.486	2	2	Giraffe5.jpg
37.002	4	0	1	4	Lester	Lion	RPplus	27.011	2	2	Lion7.jpg
42.002	4	0	1	5	Lonnie	Lion	RPminus	33.987	2	2	Lion4.jpg
47.002	4	0	1	6	Linton	Lion	RPplus	37.01	2	2	Lion3.jpg
52.003	4	0	5.5	7	Leroy	Lion	RPplus	42.01	2	2	Lion2.jpg
61.503	4	0	1	8	Efren	Elephant	NRPb	53.488	2	2	Elephant1.jpg
66.503	4	0	2	9	Ennis	Elephant	NRPa	58.488	2	2	Elephant3.jpg
72.504	4	0	1	10	Asher	Ape	NRPb	64.488	2	2	Ape5.jpg
77.504	4	0	1	11	Osgood	Otter	RPplus	67.512	2	2	Otter7.jpg
82.504	4	0	1	12	Orrin	Otter	RPminus	74.489	2	2	Otter3.jpg
87.504	4	0	1	13	Eton	Elephant	NRPa	79.489	2	2	Elephant4.jpg
92.504	4	0	1.5	14	Luka	Lion	RPminus	84.489	2	2	Lion1.jpg
98.005	4	0	1	15	Emmet	Elephant	NRPb	89.989	2	2	Elephant8.jpg
103.005	4	0	1.5	16	Elden	Elephant	NRPa	94.99	2	2	Elephant2.jpg
108.505	4	0	1.5	17	Egan	Elephant	NRPb	100.49	2	2	Elephant5.jpg
114.005	4	0	5	18	Gunther	Giraffe	RPminus	105.99	2	2	Giraffe3.jpg
123.006	4	0	1	19	Percy	Pig	NRPb	114.99	2	2	Pig3.jpg
128.006	4	0	1.5	20	Pryor	Pig	NRPa	119.991	2	2	Pig6.jpg
133.506	4	0	1	21	Levar	Lion	RPminus	125.491	2	2	Lion6.jpg
138.506	4	0	1.5	22	Oxley	Otter	RPplus	128.513	2	2	Otter8.jpg
144.007	4	0	2.5	23	Gino	Giraffe	RPminus	135.992	2	2	Giraffe6.jpg
150.507	4	0	3	24	Gordie	Giraffe	RPminus	142.492	2	2	Giraffe4.jpg
157.507	4	0	1	25	Patrice	Pig	NRPb	149.492	2	2	Pig7.jpg
162.508	4	0	1	26	Oakley	Otter	RPminus	154.492	2	2	Otter5.jpg
167.508	4	0	4.5	27	Griswold	Giraffe	RPplus	157.514	2	2	Giraffe1.jpg
176.008	4	0	1	28	Anton	Ape	NRPa	167.993	2	2	Ape3.jpg
181.008	4	0	1	29	Pearson	Pig	NRPb	172.993	2	2	Pig8.jpg
186.009	4	0	1	30	Paxton	Pig	NRPb	177.993	2	2	Pig2.jpg
191.009	4	0	1	31	Amin	Ape	NRPb	182.994	2	2	Ape4.jpg
196.009	4	0	2.5	32	Odin	Otter	RPplus	186.016	2	2	Otter1.jpg
