onset	duration	trial	ProperName	categ	cond	restudyDuration	stim_file
20.001	8	1	Gifford	Giraffe	NRPa	2	Giraffe1.jpg
28.001	8	2	Omar	Otter	NRPa	2	Otter6.jpg
36.002	8	3	Ennis	Elephant	RPplus	2	Elephant5.jpg
44.002	8	4	Luther	Lion	NRPa	2	Lion2.jpg
52.002	8	5	Godwin	Giraffe	NRPb	2	Giraffe5.jpg
60.002	8	6	Amos	Ape	RPminus	2	Ape3.jpg
68.002	8	7	Pearson	Pig	RPminus	2	Pig1.jpg
76.002	8	8	Perry	Pig	RPplus	2	Pig7.jpg
84.003	8	9	Odin	Otter	NRPa	2	Otter2.jpg
92.003	8	10	Egan	Elephant	RPplus	2	Elephant8.jpg
100.003	8	11	Lonnie	Lion	NRPb	2	Lion7.jpg
108.003	8	12	Gino	Giraffe	NRPb	2	Giraffe7.jpg
116.003	8	13	Gordie	Giraffe	NRPa	2	Giraffe3.jpg
124.003	8	14	Lester	Lion	NRPa	2	Lion5.jpg
132.003	8	15	Asher	Ape	RPplus	2	Ape8.jpg
140.004	8	16	Eton	Elephant	RPminus	2	Elephant6.jpg
148.004	8	17	Elden	Elephant	RPplus	2	Elephant3.jpg
156.004	8	18	Olaf	Otter	NRPb	2	Otter3.jpg
164.004	8	19	Patrice	Pig	RPplus	2	Pig2.jpg
172.004	8	20	Anton	Ape	RPminus	2	Ape7.jpg
180.005	8	21	Griswold	Giraffe	NRPb	2	Giraffe4.jpg
188.005	8	22	Arlen	Ape	RPplus	2	Ape6.jpg
196.005	8	23	Amin	Ape	RPminus	2	Ape4.jpg
204.005	8	24	Gunther	Giraffe	NRPa	2	Giraffe8.jpg
212.005	8	25	Edbert	Elephant	RPminus	2	Elephant4.jpg
220.005	8	26	Efren	Elephant	RPplus	2	Elephant7.jpg
228.006	8	27	Ewan	Elephant	RPminus	2	Elephant2.jpg
236.006	8	28	Abner	Ape	RPminus	2	Ape2.jpg
244.006	8	29	Glenworth	Giraffe	NRPa	2	Giraffe2.jpg
252.006	8	30	Landin	Lion	NRPb	2	Lion3.jpg
260.007	8	31	Paxton	Pig	RPminus	2	Pig6.jpg
268.007	8	32	Prescott	Pig	RPplus	2	Pig3.jpg
276.007	8	33	Alden	Ape	RPplus	2	Ape1.jpg
284.007	8	34	Angus	Ape	RPplus	2	Ape5.jpg
292.007	8	35	Parrish	Pig	RPminus	2	Pig8.jpg
300.008	8	36	Oakley	Otter	NRPa	2	Otter7.jpg
308.008	8	37	Leroy	Lion	NRPa	2	Lion1.jpg
316.008	8	38	Linton	Lion	NRPb	2	Lion8.jpg
324.008	8	39	Osgood	Otter	NRPb	2	Otter5.jpg
332.009	8	40	Levar	Lion	NRPb	2	Lion6.jpg
340.009	8	41	Percy	Pig	RPminus	2	Pig4.jpg
348.009	8	42	Orson	Otter	NRPb	2	Otter4.jpg
356.009	8	43	Garret	Giraffe	NRPb	2	Giraffe6.jpg
364.01	8	44	Luka	Lion	NRPa	2	Lion4.jpg
372.01	8	45	Emmet	Elephant	RPminus	2	Elephant1.jpg
380.01	8	46	Oxley	Otter	NRPb	2	Otter1.jpg
388.01	8	47	Orrin	Otter	NRPa	2	Otter8.jpg
396.01	8	48	Pryor	Pig	RPplus	2	Pig5.jpg
