onset	duration	onsetdelay	ITIduration	trial	ProperName	categ	cond	vocalOnset	rpDuration	vocalDuration	stim_file
20.001	4	0	1.5	1	Arlen	Ape	RPplus	10.008	2	2	Ape6.jpg
25.501	4	0	1	2	Ennis	Elephant	RPplus	15.509	2	2	Elephant5.jpg
30.501	4	0	2.5	3	Amin	Ape	RPminus	22.486	2	2	Ape4.jpg
37.001	4	0	1	4	Asher	Ape	RPplus	27.008	2	2	Ape8.jpg
42.001	4	0	1	5	Anton	Ape	RPminus	33.986	2	2	Ape7.jpg
47.002	4	0	1	6	Pryor	Pig	RPplus	37.009	2	2	Pig5.jpg
52.002	4	0	5.5	7	Alden	Ape	RPplus	42.009	2	2	Ape1.jpg
61.502	4	0	1	8	Godwin	Giraffe	NRPb	53.487	2	2	Giraffe5.jpg
66.503	4	0	2	9	Gifford	Giraffe	NRPa	58.487	2	2	Giraffe1.jpg
72.503	4	0	1	10	Landin	Lion	NRPb	64.487	2	2	Lion3.jpg
77.503	4	0	1	11	Elden	Elephant	RPplus	67.51	2	2	Elephant3.jpg
82.503	4	0	1	12	Edbert	Elephant	RPminus	74.488	2	2	Elephant4.jpg
87.504	4	0	1	13	Luka	Lion	NRPa	79.488	2	2	Lion4.jpg
92.504	4	0	1.5	14	Amos	Ape	RPminus	84.488	2	2	Ape3.jpg
98.004	4	0	1	15	Orson	Otter	NRPb	89.989	2	2	Otter4.jpg
103.004	4	0	1.5	16	Glenworth	Giraffe	NRPa	94.989	2	2	Giraffe2.jpg
108.505	4	0	1.5	17	Lonnie	Lion	NRPb	100.489	2	2	Lion7.jpg
114.005	4	0	5	18	Abner	Ape	RPminus	105.99	2	2	Ape2.jpg
123.005	4	0	1	19	Griswold	Giraffe	NRPb	114.99	2	2	Giraffe4.jpg
128.005	4	0	1.5	20	Omar	Otter	NRPa	119.99	2	2	Otter6.jpg
133.506	4	0	1	21	Pearson	Pig	RPminus	125.49	2	2	Pig1.jpg
138.506	4	0	1.5	22	Efren	Elephant	RPplus	128.513	2	2	Elephant7.jpg
144.006	4	0	2.5	23	Eton	Elephant	RPminus	135.991	2	2	Elephant6.jpg
150.506	4	0	3	24	Paxton	Pig	RPminus	142.491	2	2	Pig6.jpg
157.507	4	0	1	25	Linton	Lion	NRPb	149.491	2	2	Lion8.jpg
162.507	4	0	1	26	Emmet	Elephant	RPminus	154.492	2	2	Elephant1.jpg
167.507	4	0	4.5	27	Perry	Pig	RPplus	157.514	2	2	Pig7.jpg
176.007	4	0	1	28	Luther	Lion	NRPa	167.992	2	2	Lion2.jpg
181.008	4	0	1	29	Oxley	Otter	NRPb	172.992	2	2	Otter1.jpg
186.008	4	0	1	30	Levar	Lion	NRPb	177.992	2	2	Lion6.jpg
191.008	4	0	1	31	Gino	Giraffe	NRPb	182.993	2	2	Giraffe7.jpg
196.008	4	0	2.5	32	Angus	Ape	RPplus	186.015	2	2	Ape5.jpg
202.508	4	0	2	33	Odin	Otter	NRPa	194.493	2	2	Otter2.jpg
208.508	4	0	3	34	Ewan	Elephant	RPminus	200.493	2	2	Elephant2.jpg
215.509	4	0	1.5	35	Patrice	Pig	RPplus	205.515	2	2	Pig2.jpg
221.009	4	0	1.5	36	Prescott	Pig	RPplus	211.016	2	2	Pig3.jpg
226.509	4	0	1	37	Gordie	Giraffe	NRPa	218.494	2	2	Giraffe3.jpg
231.51	4	0	3.5	38	Oakley	Otter	NRPa	223.494	2	2	Otter7.jpg
239.01	4	0	1	39	Egan	Elephant	RPplus	229.018	2	2	Elephant8.jpg
244.01	4	0	1.5	40	Garret	Giraffe	NRPb	235.995	2	2	Giraffe6.jpg
249.511	4	0	2	41	Perry	Pig	RPplus	239.517	2	2	Pig7.jpg
255.511	4	0	1	42	Arlen	Ape	RPplus	245.518	2	2	Ape6.jpg
260.511	4	0	1	43	Alden	Ape	RPplus	250.518	2	2	Ape1.jpg
265.511	4	0	6	44	Parrish	Pig	RPminus	257.496	2	2	Pig8.jpg
275.512	4	0	1.5	45	Prescott	Pig	RPplus	265.519	2	2	Pig3.jpg
281.012	4	0	3.5	46	Lester	Lion	NRPa	272.997	2	2	Lion5.jpg
288.512	4	0	1	47	Orrin	Otter	NRPa	280.497	2	2	Otter8.jpg
293.513	4	0	1	48	Olaf	Otter	NRPb	285.497	2	2	Otter3.jpg
298.513	4	0	3.5	49	Percy	Pig	RPminus	290.498	2	2	Pig4.jpg
306.013	4	0	1	50	Efren	Elephant	RPplus	296.02	2	2	Elephant7.jpg
311.013	4	0	1	51	Gunther	Giraffe	NRPa	302.998	2	2	Giraffe8.jpg
316.014	4	0	1.5	52	Amin	Ape	RPminus	307.998	2	2	Ape4.jpg
321.514	4	0	2	53	Leroy	Lion	NRPa	313.498	2	2	Lion1.jpg
327.514	4	0	1	54	Osgood	Otter	NRPb	319.499	2	2	Otter5.jpg
332.514	4	0	3.5	55	Luther	Lion	NRPa	324.499	2	2	Lion2.jpg
340.015	4	0	1	56	Abner	Ape	RPminus	332	2	2	Ape2.jpg
345.015	4	0	1.5	57	Gifford	Giraffe	NRPa	336.999	2	2	Giraffe1.jpg
350.515	4	0	2	58	Gordie	Giraffe	NRPa	342.5	2	2	Giraffe3.jpg
356.515	4	0	1	59	Osgood	Otter	NRPb	348.5	2	2	Otter5.jpg
361.516	4	0	1	60	Lester	Lion	NRPa	353.5	2	2	Lion5.jpg
366.516	4	0	1.5	61	Patrice	Pig	RPplus	356.522	2	2	Pig2.jpg
372.016	4	0	2	62	Gunther	Giraffe	NRPa	364.001	2	2	Giraffe8.jpg
378.016	4	0	2	63	Odin	Otter	NRPa	370.001	2	2	Otter2.jpg
384.017	4	0	2.5	64	Oxley	Otter	NRPb	376.001	2	2	Otter1.jpg
390.517	4	0	1	65	Parrish	Pig	RPminus	382.501	2	2	Pig8.jpg
395.517	4	0	1	66	Pryor	Pig	RPplus	385.524	2	2	Pig5.jpg
400.517	4	0	2	67	Glenworth	Giraffe	NRPa	392.502	2	2	Giraffe2.jpg
406.518	4	0	1	68	Elden	Elephant	RPplus	396.525	2	2	Elephant3.jpg
411.518	4	0	1	69	Levar	Lion	NRPb	403.503	2	2	Lion6.jpg
416.518	4	0	1	70	Orson	Otter	NRPb	408.503	2	2	Otter4.jpg
