onset	duration	onsetdelay	ITIduration	trial	ProperName	categ	cond	vocalOnset	rpDuration	vocalDuration	stim_file
20.001	4	0	1	1	Perry	Pig	RPminus	11.985	2	2	Pig2.jpg
25.001	4	1	1	2	Amin	Ape	RPminus	16.985	2	2	Ape6.jpg
30.001	4	1	1	3	Garret	Giraffe	NRPa	21.986	2	2	Giraffe6.jpg
35.001	4	1	1.5	4	Emmet	Elephant	RPplus	25.009	2	2	Elephant1.jpg
40.502	4	1.5	1	5	Amos	Ape	RPplus	30.508	2	2	Ape5.jpg
45.502	4	1	2	6	Efren	Elephant	RPminus	37.487	2	2	Elephant7.jpg
51.502	4	2	1	7	Leroy	Lion	NRPa	43.487	2	2	Lion2.jpg
56.502	4	1	2	8	Olaf	Otter	NRPa	48.487	2	2	Otter7.jpg
62.503	4	2	1	9	Gino	Giraffe	NRPb	54.487	2	2	Giraffe8.jpg
67.503	4	1	1	10	Odin	Otter	NRPa	59.487	2	2	Otter2.jpg
72.503	4	1	1	11	Osgood	Otter	NRPb	64.488	2	2	Otter8.jpg
77.503	4	1	1.5	12	Pearson	Pig	RPplus	67.509	2	2	Pig4.jpg
83.003	4	1.5	2.5	13	Gunther	Giraffe	NRPb	74.988	2	2	Giraffe7.jpg
89.504	4	2.5	1	14	Ewan	Elephant	RPplus	79.512	2	2	Elephant8.jpg
94.504	4	1	1.5	15	Asher	Ape	RPminus	86.489	2	2	Ape8.jpg
100.004	4	1.5	1	16	Prescott	Pig	RPplus	90.011	2	2	Pig3.jpg
105.005	4	1	2.5	17	Lonnie	Lion	NRPb	96.989	2	2	Lion6.jpg
111.505	4	2.5	1	18	Griswold	Giraffe	NRPb	103.489	2	2	Giraffe5.jpg
116.505	4	1	1	19	Parrish	Pig	RPminus	108.49	2	2	Pig8.jpg
121.505	4	1	1.5	20	Patrice	Pig	RPplus	111.512	2	2	Pig7.jpg
127.006	4	1.5	1	21	Luther	Lion	NRPa	118.99	2	2	Lion1.jpg
132.006	4	1	1.5	22	Pryor	Pig	RPminus	123.991	2	2	Pig5.jpg
137.506	4	1.5	2.5	23	Orrin	Otter	NRPb	129.491	2	2	Otter6.jpg
144.007	4	2.5	5	24	Alden	Ape	RPplus	134.014	2	2	Ape4.jpg
153.007	4	5	3.5	25	Edbert	Elephant	RPplus	143.014	2	2	Elephant3.jpg
160.507	4	3.5	1	26	Percy	Pig	RPminus	152.492	2	2	Pig1.jpg
165.508	4	1	1	27	Omar	Otter	NRPa	157.492	2	2	Otter3.jpg
170.508	4	1	1	28	Godwin	Giraffe	NRPa	162.492	2	2	Giraffe3.jpg
175.508	4	1	1	29	Landin	Lion	NRPa	167.493	2	2	Lion4.jpg
180.508	4	1	2.5	30	Paxton	Pig	RPplus	170.515	2	2	Pig6.jpg
187.009	4	2.5	1	31	Abner	Ape	RPplus	177.015	2	2	Ape2.jpg
192.009	4	1	4.5	32	Eton	Elephant	RPminus	183.994	2	2	Elephant5.jpg
200.509	4	4.5	1.5	33	Levar	Lion	NRPa	192.494	2	2	Lion3.jpg
206.01	4	1.5	1	34	Angus	Ape	RPplus	196.017	2	2	Ape7.jpg
211.01	4	1	2.5	35	Orson	Otter	NRPb	202.995	2	2	Otter1.jpg
217.51	4	2.5	2	36	Elden	Elephant	RPminus	209.495	2	2	Elephant2.jpg
223.51	4	2	1	37	Oxley	Otter	NRPb	215.495	2	2	Otter5.jpg
228.511	4	1	1.5	38	Linton	Lion	NRPb	220.495	2	2	Lion8.jpg
234.011	4	1.5	1	39	Arlen	Ape	RPminus	225.995	2	2	Ape3.jpg
239.011	4	1	2	40	Oakley	Otter	NRPa	230.996	2	2	Otter4.jpg
245.011	4	2	1	41	Anton	Ape	RPminus	236.996	2	2	Ape1.jpg
250.012	4	1	1	42	Lester	Lion	NRPb	241.996	2	2	Lion7.jpg
255.012	4	1	1	43	Egan	Elephant	RPminus	246.996	2	2	Elephant6.jpg
260.012	4	1	1	44	Glenworth	Giraffe	NRPa	251.997	2	2	Giraffe4.jpg
265.012	4	1	3	45	Arlen	Ape	RPminus	256.997	2	2	Ape3.jpg
272.012	4	3	1	46	Ennis	Elephant	RPplus	262.019	2	2	Elephant4.jpg
277.013	4	1	1	47	Eton	Elephant	RPminus	268.997	2	2	Elephant5.jpg
282.013	4	1	1	48	Gifford	Giraffe	NRPb	273.998	2	2	Giraffe1.jpg
287.013	4	1	3.5	49	Luka	Lion	NRPb	278.998	2	2	Lion5.jpg
294.514	4	3.5	2.5	50	Anton	Ape	RPminus	286.498	2	2	Ape1.jpg
301.014	4	2.5	1.5	51	Edbert	Elephant	RPplus	291.021	2	2	Elephant3.jpg
306.514	4	1.5	1.5	52	Gordie	Giraffe	NRPa	298.498	2	2	Giraffe2.jpg
312.014	4	1.5	1.5	53	Godwin	Giraffe	NRPa	303.999	2	2	Giraffe3.jpg
317.514	4	1.5	1.5	54	Landin	Lion	NRPa	309.499	2	2	Lion4.jpg
323.015	4	1.5	1	55	Pryor	Pig	RPminus	314.999	2	2	Pig5.jpg
328.015	4	1	2.5	56	Paxton	Pig	RPplus	318.021	2	2	Pig6.jpg
334.515	4	2.5	1.5	57	Linton	Lion	NRPb	326.5	2	2	Lion8.jpg
340.015	4	1.5	1	58	Alden	Ape	RPplus	330.022	2	2	Ape4.jpg
345.016	4	1	2.5	59	Luther	Lion	NRPa	337	2	2	Lion1.jpg
351.516	4	2.5	1	60	Garret	Giraffe	NRPa	343.501	2	2	Giraffe6.jpg
356.516	4	1	1	61	Gordie	Giraffe	NRPa	348.501	2	2	Giraffe2.jpg
361.516	4	1	1	62	Amin	Ape	RPminus	353.501	2	2	Ape6.jpg
366.517	4	1	2	63	Oxley	Otter	NRPb	358.501	2	2	Otter5.jpg
372.517	4	2	1.5	64	Luka	Lion	NRPb	364.502	2	2	Lion5.jpg
378.017	4	1.5	1	65	Olaf	Otter	NRPa	370.002	2	2	Otter7.jpg
383.018	4	1	3.5	66	Elden	Elephant	RPminus	375.002	2	2	Elephant2.jpg
