onset	duration	onsetdelay	ITIduration	trial	ProperName	categ	cond	vocalOnset	rpDuration	vocalDuration	stim_file
20.002	4	0	2	1	Levar	Lion	NRPb	11.987	2	2	Lion2.jpg
26.002	4	0	1.5	2	Asher	Ape	RPminus	17.986	2	2	Ape2.jpg
31.502	4	0	1	3	Ewan	Elephant	RPplus	21.509	2	2	Elephant6.jpg
36.502	4	0	1.5	4	Lester	Lion	NRPa	28.487	2	2	Lion3.jpg
42.002	4	0	1	5	Griswold	Giraffe	RPminus	33.987	2	2	Giraffe4.jpg
47.003	4	0	1	6	Edbert	Elephant	RPminus	38.987	2	2	Elephant3.jpg
52.003	4	0	3	7	Arlen	Ape	RPminus	43.988	2	2	Ape1.jpg
59.003	4	0	2	8	Abner	Ape	RPminus	50.988	2	2	Ape5.jpg
65.003	4	0	2	9	Godwin	Giraffe	RPminus	56.988	2	2	Giraffe2.jpg
71.004	4	0	2	10	Ennis	Elephant	RPplus	61.01	2	2	Elephant7.jpg
77.004	4	0	1	11	Gunther	Giraffe	RPminus	68.989	2	2	Giraffe1.jpg
82.004	4	0	1	12	Egan	Elephant	RPminus	73.989	2	2	Elephant5.jpg
87.005	4	0	1	13	Pearson	Pig	NRPb	78.989	2	2	Pig8.jpg
92.005	4	0	1.5	14	Linton	Lion	NRPa	83.99	2	2	Lion7.jpg
97.505	4	0	1	15	Leroy	Lion	NRPb	89.49	2	2	Lion8.jpg
102.505	4	0	1	16	Olaf	Otter	NRPa	94.49	2	2	Otter5.jpg
107.506	4	0	1	17	Osgood	Otter	NRPa	99.49	2	2	Otter6.jpg
112.506	4	0	1.5	18	Omar	Otter	NRPa	104.491	2	2	Otter8.jpg
118.006	4	0	1.5	19	Glenworth	Giraffe	RPplus	108.014	2	2	Giraffe8.jpg
123.507	4	0	2	20	Angus	Ape	RPplus	113.513	2	2	Ape8.jpg
129.507	4	0	1.5	21	Luka	Lion	NRPa	121.491	2	2	Lion5.jpg
135.007	4	0	1.5	22	Oakley	Otter	NRPb	126.992	2	2	Otter3.jpg
140.508	4	0	1	23	Lonnie	Lion	NRPb	132.492	2	2	Lion6.jpg
145.508	4	0	3	24	Amin	Ape	RPminus	137.492	2	2	Ape6.jpg
152.508	4	0	1	25	Anton	Ape	RPplus	142.515	2	2	Ape7.jpg
157.508	4	0	1	26	Elden	Elephant	RPminus	149.493	2	2	Elephant2.jpg
162.509	4	0	2	27	Odin	Otter	NRPb	154.493	2	2	Otter4.jpg
168.509	4	0	2.5	28	Prescott	Pig	NRPb	160.494	2	2	Pig7.jpg
175.009	4	0	1	29	Amos	Ape	RPplus	165.016	2	2	Ape4.jpg
