onset	duration	trial	ProperName	categ	cond	restudyDuration	stim_file
20.002	8	1	Egan	Elephant	NRPb	2	Elephant4.jpg
28.002	8	2	Parrish	Pig	RPplus	2	Pig5.jpg
36.002	8	3	Paxton	Pig	RPplus	2	Pig2.jpg
44.002	8	4	Glenworth	Giraffe	NRPa	2	Giraffe2.jpg
52.002	8	5	Emmet	Elephant	NRPb	2	Elephant6.jpg
60.002	8	6	Osgood	Otter	RPplus	2	Otter1.jpg
68.002	8	7	Landin	Lion	NRPa	2	Lion5.jpg
76.003	8	8	Eton	Elephant	NRPa	2	Elephant7.jpg
84.003	8	9	Ewan	Elephant	NRPb	2	Elephant3.jpg
92.003	8	10	Elden	Elephant	NRPa	2	Elephant8.jpg
100.003	8	11	Leroy	Lion	NRPa	2	Lion3.jpg
108.003	8	12	Efren	Elephant	NRPb	2	Elephant2.jpg
116.003	8	13	Amos	Ape	RPplus	2	Ape4.jpg
124.004	8	14	Omar	Otter	RPminus	2	Otter7.jpg
132.004	8	15	Angus	Ape	RPplus	2	Ape2.jpg
140.004	8	16	Gino	Giraffe	NRPb	2	Giraffe4.jpg
148.004	8	17	Levar	Lion	NRPb	2	Lion8.jpg
156.005	8	18	Percy	Pig	RPplus	2	Pig7.jpg
164.005	8	19	Garret	Giraffe	NRPb	2	Giraffe7.jpg
172.005	8	20	Godwin	Giraffe	NRPa	2	Giraffe5.jpg
180.005	8	21	Griswold	Giraffe	NRPb	2	Giraffe3.jpg
188.006	8	22	Gifford	Giraffe	NRPb	2	Giraffe8.jpg
196.006	8	23	Asher	Ape	RPminus	2	Ape8.jpg
204.006	8	24	Luka	Lion	NRPb	2	Lion1.jpg
212.006	8	25	Anton	Ape	RPminus	2	Ape7.jpg
220.006	8	26	Oakley	Otter	RPminus	2	Otter6.jpg
228.007	8	27	Gordie	Giraffe	NRPa	2	Giraffe1.jpg
236.007	8	28	Linton	Lion	NRPb	2	Lion6.jpg
244.007	8	29	Pearson	Pig	RPminus	2	Pig4.jpg
252.007	8	30	Patrice	Pig	RPplus	2	Pig6.jpg
260.007	8	31	Oxley	Otter	RPminus	2	Otter8.jpg
268.007	8	32	Alden	Ape	RPminus	2	Ape6.jpg
276.007	8	33	Amin	Ape	RPplus	2	Ape3.jpg
284.008	8	34	Gunther	Giraffe	NRPa	2	Giraffe6.jpg
292.008	8	35	Lonnie	Lion	NRPa	2	Lion2.jpg
300.008	8	36	Luther	Lion	NRPb	2	Lion4.jpg
308.008	8	37	Pryor	Pig	RPminus	2	Pig8.jpg
316.008	8	38	Odin	Otter	RPplus	2	Otter5.jpg
324.008	8	39	Prescott	Pig	RPminus	2	Pig1.jpg
332.009	8	40	Edbert	Elephant	NRPa	2	Elephant1.jpg
340.009	8	41	Arlen	Ape	RPplus	2	Ape5.jpg
348.009	8	42	Ennis	Elephant	NRPa	2	Elephant5.jpg
356.009	8	43	Perry	Pig	RPminus	2	Pig3.jpg
364.009	8	44	Lester	Lion	NRPa	2	Lion7.jpg
372.009	8	45	Orrin	Otter	RPplus	2	Otter3.jpg
380.01	8	46	Abner	Ape	RPminus	2	Ape1.jpg
388.01	8	47	Olaf	Otter	RPplus	2	Otter2.jpg
396.01	8	48	Orson	Otter	RPminus	2	Otter4.jpg
