onset	duration	trial	ProperName	categ	cond	restudyDuration	stim_File
20.002	8	1	Osgood	Otter	NRPa	2	Otter5.jpg
28.002	8	2	Luka	Lion	RPplus	2	Lion2.jpg
36.002	8	3	Gifford	Giraffe	RPminus	2	Giraffe7.jpg
44.002	8	4	Emmet	Elephant	RPplus	2	Elephant1.jpg
52.003	8	5	Olaf	Otter	NRPa	2	Otter1.jpg
60.003	8	6	Parrish	Pig	NRPa	2	Pig5.jpg
68.003	8	7	Pryor	Pig	NRPb	2	Pig4.jpg
76.003	8	8	Lonnie	Lion	RPminus	2	Lion8.jpg
84.003	8	9	Paxton	Pig	NRPa	2	Pig3.jpg
92.004	8	10	Anton	Ape	NRPa	2	Ape5.jpg
100.004	8	11	Elden	Elephant	RPplus	2	Elephant7.jpg
108.004	8	12	Abner	Ape	NRPa	2	Ape2.jpg
116.004	8	13	Odin	Otter	NRPa	2	Otter7.jpg
124.005	8	14	Prescott	Pig	NRPa	2	Pig1.jpg
132.005	8	15	Lester	Lion	RPminus	2	Lion1.jpg
140.005	8	16	Godwin	Giraffe	RPminus	2	Giraffe5.jpg
148.005	8	17	Alden	Ape	NRPb	2	Ape6.jpg
156.005	8	18	Orson	Otter	NRPb	2	Otter4.jpg
164.005	8	19	Oakley	Otter	NRPb	2	Otter2.jpg
172.006	8	20	Pearson	Pig	NRPb	2	Pig2.jpg
180.006	8	21	Levar	Lion	RPminus	2	Lion6.jpg
188.006	8	22	Arlen	Ape	NRPb	2	Ape3.jpg
196.006	8	23	Amin	Ape	NRPb	2	Ape1.jpg
204.007	8	24	Garret	Giraffe	RPplus	2	Giraffe1.jpg
212.007	8	25	Angus	Ape	NRPb	2	Ape8.jpg
220.007	8	26	Gunther	Giraffe	RPplus	2	Giraffe8.jpg
228.007	8	27	Gordie	Giraffe	RPplus	2	Giraffe4.jpg
236.008	8	28	Eton	Elephant	RPminus	2	Elephant3.jpg
244.008	8	29	Landin	Lion	RPminus	2	Lion5.jpg
252.008	8	30	Perry	Pig	NRPb	2	Pig8.jpg
260.008	8	31	Patrice	Pig	NRPb	2	Pig6.jpg
268.008	8	32	Ewan	Elephant	RPminus	2	Elephant8.jpg
276.008	8	33	Oxley	Otter	NRPb	2	Otter8.jpg
284.009	8	34	Griswold	Giraffe	RPminus	2	Giraffe6.jpg
292.009	8	35	Orrin	Otter	NRPb	2	Otter6.jpg
300.009	8	36	Glenworth	Giraffe	RPplus	2	Giraffe3.jpg
308.009	8	37	Omar	Otter	NRPa	2	Otter3.jpg
316.01	8	38	Leroy	Lion	RPplus	2	Lion4.jpg
324.01	8	39	Edbert	Elephant	RPminus	2	Elephant2.jpg
332.01	8	40	Percy	Pig	NRPa	2	Pig7.jpg
340.01	8	41	Asher	Ape	NRPa	2	Ape4.jpg
348.011	8	42	Efren	Elephant	RPplus	2	Elephant6.jpg
356.011	8	43	Amos	Ape	NRPa	2	Ape7.jpg
364.011	8	44	Luther	Lion	RPplus	2	Lion3.jpg
372.011	8	45	Linton	Lion	RPplus	2	Lion7.jpg
380.011	8	46	Egan	Elephant	RPplus	2	Elephant4.jpg
388.012	8	47	Ennis	Elephant	RPminus	2	Elephant5.jpg
396.012	8	48	Gino	Giraffe	RPminus	2	Giraffe2.jpg
