onset	duration	onsetdelay	ITIduration	trial	ProperName	categ	cond	vocalOnset	rpDuration	vocalDuration	stim_file
20.002	4	0	1.5	1	Ennis	Elephant	NRPa	11.989	2	2	Elephant1.jpg
25.503	4	0	2.5	2	Lester	Lion	RPminus	17.487	2	2	Lion1.jpg
32.003	4	0	1.5	3	Linton	Lion	RPminus	23.987	2	2	Lion3.jpg
37.503	4	0	2	4	Pearson	Pig	RPminus	29.488	2	2	Pig6.jpg
43.503	4	0	1.5	5	Abner	Ape	NRPb	35.488	2	2	Ape5.jpg
49.004	4	0	1.5	6	Omar	Otter	RPminus	40.988	2	2	Otter7.jpg
54.504	4	0	1	7	Orson	Otter	RPplus	44.513	2	2	Otter3.jpg
59.504	4	0	1.5	8	Landin	Lion	RPplus	49.513	2	2	Lion7.jpg
65.004	4	0	1.5	9	Alden	Ape	NRPa	56.989	2	2	Ape4.jpg
70.505	4	0	1	10	Amin	Ape	NRPa	62.489	2	2	Ape1.jpg
75.505	4	0	1	11	Leroy	Lion	RPplus	65.512	2	2	Lion2.jpg
80.505	4	0	1.5	12	Osgood	Otter	RPplus	70.512	2	2	Otter6.jpg
86.005	4	0	3.5	13	Angus	Ape	NRPa	77.99	2	2	Ape7.jpg
93.506	4	0	2	14	Perry	Pig	RPplus	83.512	2	2	Pig4.jpg
99.506	4	0	1.5	15	Gunther	Giraffe	NRPa	91.491	2	2	Giraffe5.jpg
105.006	4	0	1	16	Pryor	Pig	RPplus	95.013	2	2	Pig5.jpg
110.006	4	0	1.5	17	Garret	Giraffe	NRPa	101.991	2	2	Giraffe1.jpg
115.507	4	0	1.5	18	Egan	Elephant	NRPb	107.491	2	2	Elephant3.jpg
121.007	4	0	1.5	19	Lonnie	Lion	RPplus	111.014	2	2	Lion8.jpg
126.507	4	0	2	20	Luther	Lion	RPminus	118.492	2	2	Lion5.jpg
132.507	4	0	1	21	Elden	Elephant	NRPb	124.492	2	2	Elephant6.jpg
137.508	4	0	1	22	Olaf	Otter	RPminus	129.492	2	2	Otter2.jpg
142.508	4	0	1	23	Asher	Ape	NRPb	134.493	2	2	Ape3.jpg
147.508	4	0	2	24	Griswold	Giraffe	NRPa	139.493	2	2	Giraffe6.jpg
153.508	4	0	1	25	Eton	Elephant	NRPa	145.493	2	2	Elephant5.jpg
158.509	4	0	3	26	Prescott	Pig	RPminus	150.494	2	2	Pig2.jpg
165.509	4	0	1	27	Glenworth	Giraffe	NRPb	157.493	2	2	Giraffe8.jpg
170.509	4	0	1	28	Oxley	Otter	RPplus	160.516	2	2	Otter5.jpg
175.51	4	0	1.5	29	Amos	Ape	NRPb	167.494	2	2	Ape6.jpg
181.01	4	0	1	30	Levar	Lion	RPplus	171.016	2	2	Lion6.jpg
186.01	4	0	2.5	31	Odin	Otter	RPplus	176.017	2	2	Otter8.jpg
192.51	4	0	2	32	Emmet	Elephant	NRPb	184.495	2	2	Elephant4.jpg
198.511	4	0	1	33	Gordie	Giraffe	NRPa	190.495	2	2	Giraffe3.jpg
203.511	4	0	2.5	34	Gifford	Giraffe	NRPb	195.496	2	2	Giraffe2.jpg
210.011	4	0	1	35	Gino	Giraffe	NRPb	201.996	2	2	Giraffe7.jpg
215.012	4	0	1	36	Efren	Elephant	NRPb	206.996	2	2	Elephant7.jpg
220.012	4	0	1	37	Arlen	Ape	NRPa	211.996	2	2	Ape8.jpg
225.012	4	0	2	38	Luka	Lion	RPminus	216.996	2	2	Lion4.jpg
231.012	4	0	1.5	39	Godwin	Giraffe	NRPb	222.997	2	2	Giraffe4.jpg
236.512	4	0	1	40	Edbert	Elephant	NRPa	228.497	2	2	Elephant2.jpg
241.513	4	0	3.5	41	Ewan	Elephant	NRPa	233.497	2	2	Elephant8.jpg
249.013	4	0	1.5	42	Paxton	Pig	RPplus	239.02	2	2	Pig3.jpg
254.513	4	0	1	43	Alden	Ape	NRPa	246.498	2	2	Ape4.jpg
259.513	4	0	1.5	44	Parrish	Pig	RPminus	251.498	2	2	Pig8.jpg
265.014	4	0	2	45	Patrice	Pig	RPminus	256.998	2	2	Pig7.jpg
271.014	4	0	1	46	Anton	Ape	NRPb	262.998	2	2	Ape2.jpg
276.014	4	0	1	47	Oakley	Otter	RPminus	267.999	2	2	Otter1.jpg
281.014	4	0	1	48	Orrin	Otter	RPminus	272.999	2	2	Otter4.jpg
286.015	4	0	3	49	Percy	Pig	RPplus	276.022	2	2	Pig1.jpg
293.015	4	0	1	50	Orrin	Otter	RPminus	285	2	2	Otter4.jpg
298.015	4	0	3	51	Oakley	Otter	RPminus	290	2	2	Otter1.jpg
305.016	4	0	3	52	Asher	Ape	NRPb	297	2	2	Ape3.jpg
312.016	4	0	1.5	53	Garret	Giraffe	NRPa	304	2	2	Giraffe1.jpg
317.516	4	0	3.5	54	Levar	Lion	RPplus	307.523	2	2	Lion6.jpg
325.016	4	0	1	55	Gino	Giraffe	NRPb	317.001	2	2	Giraffe7.jpg
330.017	4	0	2	56	Ewan	Elephant	NRPa	322.001	2	2	Elephant8.jpg
336.017	4	0	1	57	Paxton	Pig	RPplus	326.024	2	2	Pig3.jpg
341.017	4	0	1	58	Arlen	Ape	NRPa	333.002	2	2	Ape8.jpg
346.017	4	0	1.5	59	Gifford	Giraffe	NRPb	338.002	2	2	Giraffe2.jpg
351.518	4	0	1.5	60	Emmet	Elephant	NRPb	343.502	2	2	Elephant4.jpg
357.018	4	0	3	61	Amos	Ape	NRPb	349.002	2	2	Ape6.jpg
364.018	4	0	1	62	Glenworth	Giraffe	NRPb	356.003	2	2	Giraffe8.jpg
369.019	4	0	1	63	Percy	Pig	RPplus	359.026	2	2	Pig1.jpg
374.019	4	0	1	64	Gordie	Giraffe	NRPa	366.003	2	2	Giraffe3.jpg
379.019	4	0	1	65	Oxley	Otter	RPplus	369.026	2	2	Otter5.jpg
384.019	4	0	2.5	66	Godwin	Giraffe	NRPb	376.004	2	2	Giraffe4.jpg
390.52	4	0	2.5	67	Luka	Lion	RPminus	382.504	2	2	Lion4.jpg
397.02	4	0	1.5	68	Patrice	Pig	RPminus	389.004	2	2	Pig7.jpg
402.52	4	0	3	69	Lester	Lion	RPminus	394.505	2	2	Lion1.jpg
409.52	4	0	1.5	70	Linton	Lion	RPminus	401.505	2	2	Lion3.jpg
415.021	4	0	1	71	Efren	Elephant	NRPb	407.005	2	2	Elephant7.jpg
420.021	4	0	1	72	Odin	Otter	RPplus	410.027	2	2	Otter8.jpg
425.021	4	0	2	73	Osgood	Otter	RPplus	415.028	2	2	Otter6.jpg
431.022	4	0	1	74	Ennis	Elephant	NRPa	423.006	2	2	Elephant1.jpg
436.022	4	0	1	75	Pearson	Pig	RPminus	428.007	2	2	Pig6.jpg
441.022	4	0	2	76	Angus	Ape	NRPa	433.007	2	2	Ape7.jpg
447.022	4	0	3.5	77	Pryor	Pig	RPplus	437.029	2	2	Pig5.jpg
454.523	4	0	2.5	78	Parrish	Pig	RPminus	446.507	2	2	Pig8.jpg
461.023	4	0	2.5	79	Griswold	Giraffe	NRPa	453.008	2	2	Giraffe6.jpg
467.523	4	0	1	80	Lonnie	Lion	RPplus	457.53	2	2	Lion8.jpg
472.524	4	0	2.5	81	Leroy	Lion	RPplus	462.531	2	2	Lion2.jpg
479.024	4	0	2.5	82	Anton	Ape	NRPb	471.008	2	2	Ape2.jpg
485.524	4	0	3	83	Omar	Otter	RPminus	477.509	2	2	Otter7.jpg
492.524	4	0	1	84	Perry	Pig	RPplus	482.53	2	2	Pig4.jpg
497.525	4	0	1	85	Eton	Elephant	NRPa	489.509	2	2	Elephant5.jpg
502.525	4	0	1.5	86	Elden	Elephant	NRPb	494.51	2	2	Elephant6.jpg
508.025	4	0	2.5	87	Abner	Ape	NRPb	500.01	2	2	Ape5.jpg
514.525	4	0	1	88	Landin	Lion	RPplus	504.534	2	2	Lion7.jpg
519.526	4	0	2	89	Edbert	Elephant	NRPa	511.51	2	2	Elephant2.jpg
525.526	4	0	1	90	Gunther	Giraffe	NRPa	517.511	2	2	Giraffe5.jpg
530.526	4	0	1.5	91	Amin	Ape	NRPa	522.511	2	2	Ape1.jpg
536.026	4	0	2	92	Orson	Otter	RPplus	526.034	2	2	Otter3.jpg
542.027	4	0	2.5	93	Olaf	Otter	RPminus	534.011	2	2	Otter2.jpg
548.527	4	0	1	94	Prescott	Pig	RPminus	540.512	2	2	Pig2.jpg
