onset	duration	onsetdelay	ITIduration	trial	ProperName	categ	cond	vocalOnset	rpDuration	vocalDuration	stim_file
20.001	4	0	1.5	1	Linton	Lion	RPplus	10.008	2	2	Lion1.jpg
25.501	4	0	1	2	Oakley	Otter	RPplus	15.508	2	2	Otter1.jpg
30.501	4	0	2.5	3	Gifford	Giraffe	RPminus	22.486	2	2	Giraffe5.jpg
37.002	4	0	1	4	Orrin	Otter	RPplus	27.008	2	2	Otter6.jpg
42.002	4	0	1	5	Odin	Otter	RPminus	33.987	2	2	Otter3.jpg
47.002	4	0	1	6	Lester	Lion	RPplus	37.01	2	2	Lion4.jpg
52.003	4	0	5.5	7	Gino	Giraffe	RPplus	42.009	2	2	Giraffe1.jpg
61.503	4	0	1	8	Ewan	Elephant	NRPb	53.488	2	2	Elephant6.jpg
66.503	4	0	2	9	Elden	Elephant	NRPa	58.488	2	2	Elephant2.jpg
72.504	4	0	1	10	Parrish	Pig	NRPb	64.488	2	2	Pig6.jpg
77.504	4	0	1	11	Omar	Otter	RPplus	67.511	2	2	Otter4.jpg
82.504	4	0	1	12	Orson	Otter	RPminus	74.489	2	2	Otter5.jpg
87.504	4	0	1	13	Anton	Ape	NRPa	79.489	2	2	Ape3.jpg
92.505	4	0	1.5	14	Levar	Lion	RPminus	84.489	2	2	Lion5.jpg
98.005	4	0	1	15	Perry	Pig	NRPb	89.989	2	2	Pig2.jpg
103.005	4	0	1.5	16	Amin	Ape	NRPa	94.99	2	2	Ape1.jpg
108.505	4	0	1.5	17	Angus	Ape	NRPb	100.49	2	2	Ape5.jpg
114.006	4	0	5	18	Luka	Lion	RPminus	105.991	2	2	Lion6.jpg
123.006	4	0	1	19	Efren	Elephant	NRPb	114.991	2	2	Elephant7.jpg
128.006	4	0	1.5	20	Abner	Ape	NRPa	119.991	2	2	Ape4.jpg
133.507	4	0	1	21	Oxley	Otter	RPminus	125.491	2	2	Otter7.jpg
138.507	4	0	1.5	22	Godwin	Giraffe	RPplus	128.514	2	2	Giraffe4.jpg
144.007	4	0	2.5	23	Garret	Giraffe	RPminus	135.992	2	2	Giraffe8.jpg
150.507	4	0	3	24	Leroy	Lion	RPminus	142.492	2	2	Lion8.jpg
157.507	4	0	1	25	Asher	Ape	NRPb	149.492	2	2	Ape2.jpg
162.508	4	0	1	26	Gordie	Giraffe	RPminus	154.492	2	2	Giraffe3.jpg
167.508	4	0	4.5	27	Lonnie	Lion	RPplus	157.517	2	2	Lion7.jpg
176.008	4	0	1	28	Amos	Ape	NRPa	167.993	2	2	Ape8.jpg
181.009	4	0	1	29	Pryor	Pig	NRPb	172.993	2	2	Pig4.jpg
186.009	4	0	1	30	Edbert	Elephant	NRPb	177.993	2	2	Elephant3.jpg
191.009	4	0	1	31	Arlen	Ape	NRPb	182.994	2	2	Ape6.jpg
196.009	4	0	2.5	32	Griswold	Giraffe	RPplus	186.016	2	2	Giraffe7.jpg
202.51	4	0	2	33	Emmet	Elephant	NRPa	194.494	2	2	Elephant5.jpg
208.51	4	0	3	34	Olaf	Otter	RPminus	200.494	2	2	Otter2.jpg
215.51	4	0	1.5	35	Osgood	Otter	RPplus	205.517	2	2	Otter8.jpg
221.01	4	0	1.5	36	Landin	Lion	RPplus	211.018	2	2	Lion2.jpg
226.511	4	0	1	37	Egan	Elephant	NRPa	218.495	2	2	Elephant1.jpg
231.511	4	0	3.5	38	Paxton	Pig	NRPa	223.496	2	2	Pig5.jpg
239.011	4	0	1	39	Gunther	Giraffe	RPplus	229.018	2	2	Giraffe2.jpg
244.011	4	0	1.5	40	Alden	Ape	NRPb	235.996	2	2	Ape7.jpg
249.511	4	0	2	41	Oakley	Otter	RPplus	239.518	2	2	Otter1.jpg
255.512	4	0	1	42	Lester	Lion	RPplus	245.519	2	2	Lion4.jpg
260.512	4	0	1	43	Omar	Otter	RPplus	250.519	2	2	Otter4.jpg
265.512	4	0	6	44	Luther	Lion	RPminus	257.497	2	2	Lion3.jpg
275.513	4	0	1.5	45	Osgood	Otter	RPplus	265.519	2	2	Otter8.jpg
281.013	4	0	3.5	46	Patrice	Pig	NRPa	272.997	2	2	Pig7.jpg
288.513	4	0	1	47	Pearson	Pig	NRPa	280.498	2	2	Pig8.jpg
293.513	4	0	1	48	Percy	Pig	NRPb	285.498	2	2	Pig1.jpg
298.514	4	0	3.5	49	Glenworth	Giraffe	RPminus	290.498	2	2	Giraffe6.jpg
306.014	4	0	1	50	Godwin	Giraffe	RPplus	296.022	2	2	Giraffe4.jpg
311.014	4	0	1	51	Prescott	Pig	NRPa	302.999	2	2	Pig3.jpg
316.015	4	0	1.5	52	Olaf	Otter	RPminus	308	2	2	Otter2.jpg
321.515	4	0	2	53	Eton	Elephant	NRPa	313.5	2	2	Elephant8.jpg
327.515	4	0	1	54	Ennis	Elephant	NRPb	319.5	2	2	Elephant4.jpg
332.516	4	0	3.5	55	Patrice	Pig	NRPa	324.5	2	2	Pig7.jpg
340.016	4	0	1	56	Luther	Lion	RPminus	332.001	2	2	Lion3.jpg
345.016	4	0	1.5	57	Anton	Ape	NRPa	337.001	2	2	Ape3.jpg
350.516	4	0	2	58	Pearson	Pig	NRPa	342.501	2	2	Pig8.jpg
356.517	4	0	1	59	Edbert	Elephant	NRPb	348.501	2	2	Elephant3.jpg
361.517	4	0	1	60	Elden	Elephant	NRPa	353.502	2	2	Elephant2.jpg
366.517	4	0	1.5	61	Gino	Giraffe	RPplus	356.524	2	2	Giraffe1.jpg
372.018	4	0	2	62	Eton	Elephant	NRPa	364.002	2	2	Elephant8.jpg
378.018	4	0	2	63	Paxton	Pig	NRPa	370.002	2	2	Pig5.jpg
384.018	4	0	2.5	64	Efren	Elephant	NRPb	376.003	2	2	Elephant7.jpg
390.518	4	0	1	65	Luka	Lion	RPminus	382.503	2	2	Lion6.jpg
395.519	4	0	1	66	Griswold	Giraffe	RPplus	385.525	2	2	Giraffe7.jpg
400.519	4	0	2	67	Prescott	Pig	NRPa	392.504	2	2	Pig3.jpg
406.519	4	0	1	68	Linton	Lion	RPplus	396.526	2	2	Lion1.jpg
411.519	4	0	1	69	Perry	Pig	NRPb	403.504	2	2	Pig2.jpg
416.52	4	0	1	70	Parrish	Pig	NRPb	408.504	2	2	Pig6.jpg
