onset	duration	onsetdelay	ITIduration	trial	ProperName	categ	cond	vocalOnset	rpDuration	vocalDuration	stim_file
20.001	4	0	1.5	1	Levar	Lion	RPplus	10.008	2	2	Lion2.jpg
25.501	4	1.5	1	2	Orrin	Otter	RPplus	15.508	2	2	Otter4.jpg
30.501	4	1	2.5	3	Perry	Pig	RPminus	22.486	2	2	Pig8.jpg
37.001	4	2.5	1	4	Lester	Lion	RPplus	27.01	2	2	Lion5.jpg
42.002	4	1	1	5	Patrice	Pig	RPminus	33.986	2	2	Pig1.jpg
47.002	4	1	1	6	Linton	Lion	RPplus	37.009	2	2	Lion6.jpg
52.002	4	1	5.5	7	Odin	Otter	RPplus	42.009	2	2	Otter5.jpg
61.503	4	5.5	1	8	Gordie	Giraffe	NRPb	53.487	2	2	Giraffe4.jpg
66.503	4	1	2	9	Griswold	Giraffe	NRPa	58.488	2	2	Giraffe6.jpg
72.503	4	2	1	10	Gifford	Giraffe	NRPb	64.488	2	2	Giraffe5.jpg
77.503	4	1	1	11	Orson	Otter	RPplus	67.51	2	2	Otter1.jpg
82.504	4	1	1	12	Paxton	Pig	RPminus	74.488	2	2	Pig2.jpg
87.504	4	1	1	13	Efren	Elephant	NRPa	79.489	2	2	Elephant6.jpg
92.504	4	1	1.5	14	Landin	Lion	RPminus	84.489	2	2	Lion8.jpg
98.005	4	1.5	1	15	Emmet	Elephant	NRPb	89.989	2	2	Elephant2.jpg
103.005	4	1	1.5	16	Ewan	Elephant	NRPa	94.989	2	2	Elephant5.jpg
108.505	4	1.5	1.5	17	Glenworth	Giraffe	NRPb	100.49	2	2	Giraffe2.jpg
114.005	4	1.5	5	18	Pryor	Pig	RPminus	105.99	2	2	Pig6.jpg
123.006	4	5	1	19	Amos	Ape	NRPb	114.99	2	2	Ape3.jpg
128.006	4	1	1.5	20	Alden	Ape	NRPa	119.99	2	2	Ape1.jpg
133.506	4	1.5	1	21	Luther	Lion	RPminus	125.491	2	2	Lion7.jpg
138.506	4	1	1.5	22	Pearson	Pig	RPplus	128.513	2	2	Pig7.jpg
144.007	4	1.5	2.5	23	Osgood	Otter	RPminus	135.991	2	2	Otter3.jpg
150.507	4	2.5	3	24	Luka	Lion	RPminus	142.492	2	2	Lion4.jpg
157.507	4	3	1	25	Angus	Ape	NRPb	149.492	2	2	Ape8.jpg
162.508	4	1	1	26	Oxley	Otter	RPminus	154.492	2	2	Otter6.jpg
167.508	4	1	4.5	27	Lonnie	Lion	RPplus	157.515	2	2	Lion3.jpg
176.008	4	4.5	1	28	Godwin	Giraffe	NRPa	167.993	2	2	Giraffe3.jpg
181.008	4	1	1	29	Anton	Ape	NRPb	172.993	2	2	Ape2.jpg
186.009	4	1	1	30	Elden	Elephant	NRPb	177.993	2	2	Elephant3.jpg
191.009	4	1	1	31	Ennis	Elephant	NRPb	182.994	2	2	Elephant4.jpg
196.009	4	1	2.5	32	Percy	Pig	RPplus	186.016	2	2	Pig3.jpg
202.509	4	2.5	2	33	Asher	Ape	NRPa	194.494	2	2	Ape7.jpg
208.509	4	2	3	34	Omar	Otter	RPminus	200.494	2	2	Otter8.jpg
215.509	4	3	1.5	35	Olaf	Otter	RPplus	205.518	2	2	Otter7.jpg
221.01	4	1.5	1.5	36	Prescott	Pig	RPplus	211.016	2	2	Pig4.jpg
226.51	4	1.5	1	37	Garret	Giraffe	NRPa	218.494	2	2	Giraffe1.jpg
231.51	4	1	3.5	38	Gunther	Giraffe	NRPa	223.495	2	2	Giraffe7.jpg
239.01	4	3.5	1	39	Parrish	Pig	RPplus	229.017	2	2	Pig5.jpg
244.011	4	1	1.5	40	Gino	Giraffe	NRPb	235.995	2	2	Giraffe8.jpg
249.511	4	1.5	2	41	Linton	Lion	RPplus	239.517	2	2	Lion6.jpg
255.511	4	2	1	42	Lonnie	Lion	RPplus	245.519	2	2	Lion3.jpg
260.512	4	1	1	43	Lester	Lion	RPplus	250.52	2	2	Lion5.jpg
265.512	4	1	6	44	Oakley	Otter	RPminus	257.497	2	2	Otter2.jpg
275.512	4	6	1.5	45	Parrish	Pig	RPplus	265.519	2	2	Pig5.jpg
281.012	4	1.5	3.5	46	Arlen	Ape	NRPa	272.997	2	2	Ape6.jpg
288.512	4	3.5	1	47	Edbert	Elephant	NRPa	280.497	2	2	Elephant8.jpg
293.513	4	1	1	48	Abner	Ape	NRPb	285.497	2	2	Ape5.jpg
298.513	4	1	3.5	49	Leroy	Lion	RPminus	290.498	2	2	Lion1.jpg
306.013	4	3.5	1	50	Percy	Pig	RPplus	296.02	2	2	Pig3.jpg
311.013	4	1	1	51	Eton	Elephant	NRPa	302.998	2	2	Elephant1.jpg
316.014	4	1	1.5	52	Osgood	Otter	RPminus	307.998	2	2	Otter3.jpg
321.514	4	1.5	2	53	Amin	Ape	NRPa	313.498	2	2	Ape4.jpg
327.514	4	2	1	54	Egan	Elephant	NRPb	319.499	2	2	Elephant7.jpg
332.514	4	1	3.5	55	Godwin	Giraffe	NRPa	324.499	2	2	Giraffe3.jpg
340.014	4	3.5	1	56	Oakley	Otter	RPminus	331.999	2	2	Otter2.jpg
345.015	4	1	1.5	57	Gunther	Giraffe	NRPa	336.999	2	2	Giraffe7.jpg
350.515	4	1.5	2	58	Asher	Ape	NRPa	342.5	2	2	Ape7.jpg
356.515	4	2	1	59	Elden	Elephant	NRPb	348.5	2	2	Elephant3.jpg
361.515	4	1	1	60	Alden	Ape	NRPa	353.5	2	2	Ape1.jpg
366.516	4	1	1.5	61	Orson	Otter	RPplus	356.523	2	2	Otter1.jpg
372.016	4	1.5	2	62	Eton	Elephant	NRPa	364.001	2	2	Elephant1.jpg
378.016	4	2	2	63	Efren	Elephant	NRPa	370.001	2	2	Elephant6.jpg
384.016	4	2	2.5	64	Angus	Ape	NRPb	376.001	2	2	Ape8.jpg
390.517	4	2.5	1	65	Omar	Otter	RPminus	382.501	2	2	Otter8.jpg
395.517	4	1	1	66	Prescott	Pig	RPplus	385.523	2	2	Pig4.jpg
400.517	4	1	2	67	Griswold	Giraffe	NRPa	392.502	2	2	Giraffe6.jpg
406.518	4	2	1	68	Pearson	Pig	RPplus	396.524	2	2	Pig7.jpg
411.518	4	1	1	69	Anton	Ape	NRPb	403.503	2	2	Ape2.jpg
416.518	4	1	1	70	Abner	Ape	NRPb	408.503	2	2	Ape5.jpg
421.518	4	1	2	71	Glenworth	Giraffe	NRPb	413.503	2	2	Giraffe2.jpg
427.519	4	2	2	72	Leroy	Lion	RPminus	419.503	2	2	Lion1.jpg
433.519	4	2	1.5	73	Emmet	Elephant	NRPb	425.504	2	2	Elephant2.jpg
