onset	duration	trial	ProperName	categ	cond	restudyDuration	stim_file
20.001	8	1	Edbert	Elephant	NRPb	2	Elephant4.jpg
28.001	8	2	Elden	Elephant	NRPb	2	Elephant8.jpg
36.002	8	3	Osgood	Otter	RPminus	2	Otter7.jpg
44.002	8	4	Arlen	Ape	NRPa	2	Ape8.jpg
52.002	8	5	Paxton	Pig	RPplus	2	Pig1.jpg
60.002	8	6	Asher	Ape	NRPa	2	Ape5.jpg
68.002	8	7	Percy	Pig	RPminus	2	Pig3.jpg
76.003	8	8	Patrice	Pig	RPminus	2	Pig7.jpg
84.003	8	9	Leroy	Lion	RPminus	2	Lion3.jpg
92.003	8	10	Anton	Ape	NRPa	2	Ape6.jpg
100.003	8	11	Oakley	Otter	RPminus	2	Otter8.jpg
108.003	8	12	Levar	Lion	RPplus	2	Lion2.jpg
116.003	8	13	Emmet	Elephant	NRPb	2	Elephant2.jpg
124.004	8	14	Prescott	Pig	RPminus	2	Pig5.jpg
132.004	8	15	Olaf	Otter	RPminus	2	Otter2.jpg
140.004	8	16	Parrish	Pig	RPplus	2	Pig6.jpg
148.004	8	17	Ennis	Elephant	NRPa	2	Elephant6.jpg
156.005	8	18	Efren	Elephant	NRPa	2	Elephant5.jpg
164.005	8	19	Godwin	Giraffe	NRPa	2	Giraffe2.jpg
172.005	8	20	Egan	Elephant	NRPa	2	Elephant3.jpg
180.005	8	21	Orson	Otter	RPplus	2	Otter6.jpg
188.005	8	22	Gordie	Giraffe	NRPb	2	Giraffe5.jpg
196.006	8	23	Luther	Lion	RPplus	2	Lion4.jpg
204.006	8	24	Gunther	Giraffe	NRPb	2	Giraffe6.jpg
212.006	8	25	Amos	Ape	NRPb	2	Ape1.jpg
220.006	8	26	Luka	Lion	RPminus	2	Lion1.jpg
228.006	8	27	Lester	Lion	RPplus	2	Lion6.jpg
236.007	8	28	Glenworth	Giraffe	NRPb	2	Giraffe1.jpg
244.007	8	29	Omar	Otter	RPplus	2	Otter3.jpg
252.007	8	30	Pryor	Pig	RPminus	2	Pig8.jpg
260.007	8	31	Amin	Ape	NRPb	2	Ape3.jpg
268.007	8	32	Griswold	Giraffe	NRPa	2	Giraffe4.jpg
276.007	8	33	Eton	Elephant	NRPa	2	Elephant7.jpg
284.008	8	34	Ewan	Elephant	NRPb	2	Elephant1.jpg
292.008	8	35	Gino	Giraffe	NRPa	2	Giraffe8.jpg
300.008	8	36	Angus	Ape	NRPb	2	Ape2.jpg
308.008	8	37	Landin	Lion	RPminus	2	Lion5.jpg
316.008	8	38	Garret	Giraffe	NRPb	2	Giraffe7.jpg
324.009	8	39	Perry	Pig	RPplus	2	Pig2.jpg
332.009	8	40	Abner	Ape	NRPa	2	Ape4.jpg
340.009	8	41	Linton	Lion	RPplus	2	Lion8.jpg
348.009	8	42	Oxley	Otter	RPplus	2	Otter1.jpg
356.009	8	43	Pearson	Pig	RPplus	2	Pig4.jpg
364.01	8	44	Orrin	Otter	RPminus	2	Otter5.jpg
372.01	8	45	Odin	Otter	RPplus	2	Otter4.jpg
380.01	8	46	Gifford	Giraffe	NRPa	2	Giraffe3.jpg
388.01	8	47	Alden	Ape	NRPb	2	Ape7.jpg
396.01	8	48	Lonnie	Lion	RPminus	2	Lion7.jpg
