onset	duration	onsetdelay	ITIduration	trial	ProperName	categ	cond	vocalOnset	rpDuration	vocalDuration	stim_file
20.001	4	0	2	1	Angus	Ape	NRPb	11.985	2	2	Ape2.jpg
26.001	4	0	1.5	2	Lonnie	Lion	RPminus	17.986	2	2	Lion7.jpg
31.501	4	0	1	3	Oxley	Otter	RPplus	21.508	2	2	Otter1.jpg
36.501	4	0	1.5	4	Anton	Ape	NRPa	28.486	2	2	Ape6.jpg
42.002	4	0	1	5	Olaf	Otter	RPminus	33.986	2	2	Otter2.jpg
47.002	4	0	1	6	Prescott	Pig	RPminus	38.986	2	2	Pig5.jpg
52.002	4	0	3	7	Pryor	Pig	RPminus	43.987	2	2	Pig8.jpg
59.002	4	0	2	8	Percy	Pig	RPminus	50.987	2	2	Pig3.jpg
65.003	4	0	2	9	Oakley	Otter	RPminus	56.987	2	2	Otter8.jpg
71.003	4	0	2	10	Perry	Pig	RPplus	61.009	2	2	Pig2.jpg
77.003	4	0	1	11	Osgood	Otter	RPminus	68.988	2	2	Otter7.jpg
82.003	4	0	1	12	Orrin	Otter	RPminus	73.988	2	2	Otter5.jpg
87.004	4	0	1	13	Emmet	Elephant	NRPb	78.988	2	2	Elephant2.jpg
92.004	4	0	1.5	14	Arlen	Ape	NRPa	83.989	2	2	Ape8.jpg
97.504	4	0	1	15	Elden	Elephant	NRPb	89.489	2	2	Elephant8.jpg
102.505	4	0	1	16	Ennis	Elephant	NRPa	94.489	2	2	Elephant6.jpg
107.505	4	0	1	17	Godwin	Giraffe	NRPa	99.49	2	2	Giraffe2.jpg
112.505	4	0	1.5	18	Abner	Ape	NRPa	104.49	2	2	Ape4.jpg
118.005	4	0	1.5	19	Omar	Otter	RPplus	108.013	2	2	Otter3.jpg
123.506	4	0	2	20	Paxton	Pig	RPplus	113.513	2	2	Pig1.jpg
129.506	4	0	1.5	21	Efren	Elephant	NRPa	121.49	2	2	Elephant5.jpg
135.006	4	0	1.5	22	Edbert	Elephant	NRPb	126.991	2	2	Elephant4.jpg
140.506	4	0	1	23	Gordie	Giraffe	NRPb	132.491	2	2	Giraffe5.jpg
145.507	4	0	3	24	Leroy	Lion	RPminus	137.491	2	2	Lion3.jpg
152.507	4	0	1	25	Pearson	Pig	RPplus	142.513	2	2	Pig4.jpg
157.507	4	0	1	26	Luka	Lion	RPminus	149.492	2	2	Lion1.jpg
162.508	4	0	2	27	Ewan	Elephant	NRPb	154.493	2	2	Elephant1.jpg
168.508	4	0	2.5	28	Gunther	Giraffe	NRPb	160.493	2	2	Giraffe6.jpg
175.008	4	0	1	29	Luther	Lion	RPplus	165.016	2	2	Lion4.jpg
180.009	4	0	1.5	30	Odin	Otter	RPplus	170.016	2	2	Otter4.jpg
185.509	4	0	1.5	31	Lester	Lion	RPplus	175.515	2	2	Lion6.jpg
191.009	4	0	1.5	32	Alden	Ape	NRPb	182.994	2	2	Ape7.jpg
196.509	4	0	1	33	Asher	Ape	NRPa	188.494	2	2	Ape5.jpg
201.51	4	0	1	34	Parrish	Pig	RPplus	191.516	2	2	Pig6.jpg
206.51	4	0	2.5	35	Linton	Lion	RPplus	196.517	2	2	Lion8.jpg
213.01	4	0	3	36	Patrice	Pig	RPminus	204.995	2	2	Pig7.jpg
220.011	4	0	1	37	Egan	Elephant	NRPa	211.995	2	2	Elephant3.jpg
225.011	4	0	1.5	38	Levar	Lion	RPplus	215.018	2	2	Lion2.jpg
