onset	duration	trial	stim_file	ProperName	categ	cond	restudyDuration
20.002	8	1	Otter3.jpg	Orrin	Otter	RPminus	2
28.002	8	2	Ape7.jpg	Abner	Ape	NRPa	2
36.002	8	3	Pig5.jpg	Parrish	Pig	NRPa	2
44.003	8	4	Pig2.jpg	Paxton	Pig	NRPb	2
52.003	8	5	Giraffe3.jpg	Gunther	Giraffe	RPminus	2
60.003	8	6	Lion3.jpg	Linton	Lion	RPplus	2
68.003	8	7	Lion6.jpg	Levar	Lion	RPminus	2
76.003	8	8	Ape5.jpg	Asher	Ape	NRPb	2
84.003	8	9	Giraffe8.jpg	Godwin	Giraffe	RPplus	2
92.004	8	10	Giraffe6.jpg	Gino	Giraffe	RPminus	2
100.004	8	11	Giraffe1.jpg	Griswold	Giraffe	RPplus	2
108.004	8	12	Pig3.jpg	Percy	Pig	NRPb	2
116.004	8	13	Elephant5.jpg	Egan	Elephant	NRPb	2
124.004	8	14	Giraffe5.jpg	Garret	Giraffe	RPminus	2
132.004	8	15	Otter4.jpg	Orson	Otter	RPminus	2
140.005	8	16	Giraffe7.jpg	Gifford	Giraffe	RPplus	2
148.005	8	17	Ape6.jpg	Arlen	Ape	NRPa	2
156.005	8	18	Ape1.jpg	Angus	Ape	NRPa	2
164.005	8	19	Pig7.jpg	Patrice	Pig	NRPb	2
172.005	8	20	Elephant1.jpg	Efren	Elephant	NRPb	2
180.005	8	21	Otter2.jpg	Omar	Otter	RPminus	2
188.006	8	22	Elephant7.jpg	Ewan	Elephant	NRPb	2
196.006	8	23	Otter1.jpg	Odin	Otter	RPplus	2
204.006	8	24	Ape3.jpg	Anton	Ape	NRPa	2
212.006	8	25	Lion4.jpg	Lonnie	Lion	RPminus	2
220.006	8	26	Ape8.jpg	Amos	Ape	NRPb	2
228.007	8	27	Elephant3.jpg	Ennis	Elephant	NRPa	2
236.007	8	28	Elephant2.jpg	Elden	Elephant	NRPa	2
244.007	8	29	Pig6.jpg	Pryor	Pig	NRPa	2
252.007	8	30	Lion5.jpg	Landin	Lion	RPminus	2
260.008	8	31	Pig1.jpg	Perry	Pig	NRPa	2
268.008	8	32	Otter6.jpg	Olaf	Otter	RPplus	2
276.008	8	33	Elephant8.jpg	Emmet	Elephant	NRPb	2
284.008	8	34	Otter7.jpg	Osgood	Otter	RPplus	2
292.008	8	35	Lion8.jpg	Luther	Lion	RPplus	2
300.009	8	36	Pig4.jpg	Prescott	Pig	NRPa	2
308.009	8	37	Otter5.jpg	Oakley	Otter	RPminus	2
316.009	8	38	Elephant4.jpg	Eton	Elephant	NRPa	2
324.009	8	39	Elephant6.jpg	Edbert	Elephant	NRPa	2
332.009	8	40	Giraffe4.jpg	Gordie	Giraffe	RPminus	2
340.01	8	41	Otter8.jpg	Oxley	Otter	RPplus	2
348.01	8	42	Ape4.jpg	Amin	Ape	NRPb	2
356.01	8	43	Ape2.jpg	Alden	Ape	NRPb	2
364.01	8	44	Lion2.jpg	Leroy	Lion	RPplus	2
372.011	8	45	Lion7.jpg	Lester	Lion	RPplus	2
380.011	8	46	Pig8.jpg	Pearson	Pig	NRPb	2
388.011	8	47	Lion1.jpg	Luka	Lion	RPminus	2
396.011	8	48	Giraffe2.jpg	Glenworth	Giraffe	RPplus	2
