onset	duration	onsetdelay	ITIduration	trial	ProperName	categ	cond	vocalOnset	rpDuration	vocalDuration	stim_file
20.001	4	0	1	1	Orson	Otter	RPminus	11.986	2	2	Otter1.jpg
25.001	4	0	1	2	Arlen	Ape	RPminus	16.986	2	2	Ape6.jpg
30.002	4	0	1	3	Linton	Lion	NRPa	21.986	2	2	Lion4.jpg
35.002	4	0	1.5	4	Oxley	Otter	RPplus	25.01	2	2	Otter7.jpg
40.502	4	0	1	5	Abner	Ape	RPplus	30.509	2	2	Ape5.jpg
45.502	4	0	2	6	Percy	Pig	RPminus	37.487	2	2	Pig1.jpg
51.503	4	0	1	7	Gifford	Giraffe	NRPa	43.488	2	2	Giraffe3.jpg
56.503	4	0	2	8	Edbert	Elephant	NRPa	48.488	2	2	Elephant2.jpg
62.503	4	0	1	9	Gunther	Giraffe	NRPb	54.488	2	2	Giraffe2.jpg
67.504	4	0	1	10	Glenworth	Giraffe	NRPa	59.488	2	2	Giraffe8.jpg
72.504	4	0	1	11	Efren	Elephant	NRPb	64.488	2	2	Elephant1.jpg
77.504	4	0	1.5	12	Alden	Ape	RPplus	67.511	2	2	Ape4.jpg
83.004	4	0	2.5	13	Gordie	Giraffe	NRPb	74.989	2	2	Giraffe6.jpg
89.505	4	0	1	14	Amos	Ape	RPplus	79.511	2	2	Ape2.jpg
94.505	4	0	1.5	15	Perry	Pig	RPminus	86.49	2	2	Pig8.jpg
100.005	4	0	1	16	Patrice	Pig	RPplus	90.012	2	2	Pig5.jpg
105.006	4	0	2.5	17	Emmet	Elephant	NRPb	96.99	2	2	Elephant3.jpg
111.506	4	0	1	18	Lonnie	Lion	NRPb	103.49	2	2	Lion3.jpg
116.506	4	0	1	19	Amin	Ape	RPminus	108.491	2	2	Ape3.jpg
121.506	4	0	1.5	20	Pearson	Pig	RPplus	111.513	2	2	Pig6.jpg
127.006	4	0	1	21	Elden	Elephant	NRPa	118.991	2	2	Elephant5.jpg
132.007	4	0	1.5	22	Oakley	Otter	RPminus	123.991	2	2	Otter6.jpg
137.507	4	0	2.5	23	Griswold	Giraffe	NRPb	129.492	2	2	Giraffe7.jpg
144.007	4	0	5	24	Anton	Ape	RPplus	134.014	2	2	Ape8.jpg
153.007	4	0	3.5	25	Omar	Otter	RPplus	143.015	2	2	Otter2.jpg
160.508	4	0	1	26	Parrish	Pig	RPminus	152.492	2	2	Pig3.jpg
165.508	4	0	1	27	Landin	Lion	NRPa	157.493	2	2	Lion2.jpg
170.508	4	0	1	28	Garret	Giraffe	NRPa	162.493	2	2	Giraffe5.jpg
175.508	4	0	1	29	Lester	Lion	NRPa	167.493	2	2	Lion5.jpg
180.509	4	0	2.5	30	Orrin	Otter	RPplus	170.516	2	2	Otter4.jpg
187.009	4	0	1	31	Prescott	Pig	RPplus	177.016	2	2	Pig7.jpg
192.009	4	0	4.5	32	Osgood	Otter	RPminus	183.994	2	2	Otter8.jpg
200.509	4	0	1.5	33	Ennis	Elephant	NRPa	192.494	2	2	Elephant8.jpg
206.01	4	0	1	34	Paxton	Pig	RPplus	196.016	2	2	Pig4.jpg
211.01	4	0	2.5	35	Ewan	Elephant	NRPb	202.994	2	2	Elephant4.jpg
217.51	4	0	2	36	Angus	Ape	RPminus	209.495	2	2	Ape1.jpg
223.51	4	0	1	37	Luka	Lion	NRPb	215.495	2	2	Lion1.jpg
228.51	4	0	1.5	38	Eton	Elephant	NRPb	220.495	2	2	Elephant6.jpg
234.01	4	0	1	39	Olaf	Otter	RPminus	225.995	2	2	Otter5.jpg
239.011	4	0	2	40	Egan	Elephant	NRPa	230.996	2	2	Elephant7.jpg
245.011	4	0	1	41	Pryor	Pig	RPminus	236.995	2	2	Pig2.jpg
250.011	4	0	1	42	Levar	Lion	NRPb	241.996	2	2	Lion7.jpg
255.011	4	0	1	43	Asher	Ape	RPminus	246.996	2	2	Ape7.jpg
260.011	4	0	1	44	Leroy	Lion	NRPa	251.996	2	2	Lion8.jpg
265.012	4	0	3	45	Parrish	Pig	RPminus	256.996	2	2	Pig3.jpg
272.012	4	0	1	46	Odin	Otter	RPplus	262.019	2	2	Otter3.jpg
277.012	4	0	1	47	Angus	Ape	RPminus	268.997	2	2	Ape1.jpg
282.012	4	0	1	48	Godwin	Giraffe	NRPb	273.997	2	2	Giraffe1.jpg
287.012	4	0	3.5	49	Luther	Lion	NRPb	278.997	2	2	Lion6.jpg
294.513	4	0	2.5	50	Olaf	Otter	RPminus	286.497	2	2	Otter5.jpg
301.013	4	0	1.5	51	Amos	Ape	RPplus	291.02	2	2	Ape2.jpg
306.513	4	0	1.5	52	Gino	Giraffe	NRPa	298.498	2	2	Giraffe4.jpg
312.013	4	0	1.5	53	Leroy	Lion	NRPa	303.998	2	2	Lion8.jpg
317.514	4	0	1.5	54	Edbert	Elephant	NRPa	309.498	2	2	Elephant2.jpg
323.014	4	0	1	55	Percy	Pig	RPminus	314.999	2	2	Pig1.jpg
328.014	4	0	2.5	56	Omar	Otter	RPplus	318.022	2	2	Otter2.jpg
334.514	4	0	1.5	57	Godwin	Giraffe	NRPb	326.499	2	2	Giraffe1.jpg
340.015	4	0	1	58	Abner	Ape	RPplus	330.021	2	2	Ape5.jpg
345.015	4	0	2.5	59	Gifford	Giraffe	NRPa	337	2	2	Giraffe3.jpg
351.515	4	0	1	60	Glenworth	Giraffe	NRPa	343.5	2	2	Giraffe8.jpg
356.516	4	0	1	61	Gino	Giraffe	NRPa	348.5	2	2	Giraffe4.jpg
361.516	4	0	1	62	Asher	Ape	RPminus	353.501	2	2	Ape7.jpg
366.516	4	0	2	63	Levar	Lion	NRPb	358.501	2	2	Lion7.jpg
372.516	4	0	1.5	64	Lonnie	Lion	NRPb	364.501	2	2	Lion3.jpg
378.017	4	0	1	65	Ennis	Elephant	NRPa	370.001	2	2	Elephant8.jpg
383.017	4	0	3.5	66	Pryor	Pig	RPminus	375.002	2	2	Pig2.jpg
390.517	4	0	2.5	67	Prescott	Pig	RPplus	380.524	2	2	Pig7.jpg
397.017	4	0	1.5	68	Odin	Otter	RPplus	387.025	2	2	Otter3.jpg
402.518	4	0	1.5	69	Luther	Lion	NRPb	394.503	2	2	Lion6.jpg
408.018	4	0	1.5	70	Pearson	Pig	RPplus	398.025	2	2	Pig6.jpg
413.518	4	0	1	71	Emmet	Elephant	NRPb	405.503	2	2	Elephant3.jpg
418.519	4	0	1.5	72	Anton	Ape	RPplus	408.525	2	2	Ape8.jpg
424.019	4	0	1	73	Landin	Lion	NRPa	416.004	2	2	Lion2.jpg
429.019	4	0	2.5	74	Gunther	Giraffe	NRPb	421.004	2	2	Giraffe2.jpg
435.52	4	0	4.5	75	Oxley	Otter	RPplus	425.528	2	2	Otter7.jpg
444.02	4	0	1	76	Garret	Giraffe	NRPa	436.005	2	2	Giraffe5.jpg
449.02	4	0	2	77	Perry	Pig	RPminus	441.005	2	2	Pig8.jpg
455.02	4	0	2	78	Linton	Lion	NRPa	447.005	2	2	Lion4.jpg
461.021	4	0	2.5	79	Patrice	Pig	RPplus	451.027	2	2	Pig5.jpg
467.521	4	0	1	80	Paxton	Pig	RPplus	457.527	2	2	Pig4.jpg
472.521	4	0	1	81	Alden	Ape	RPplus	462.528	2	2	Ape4.jpg
477.521	4	0	2	82	Osgood	Otter	RPminus	469.507	2	2	Otter8.jpg
483.522	4	0	2.5	83	Elden	Elephant	NRPa	475.506	2	2	Elephant5.jpg
490.022	4	0	1	84	Arlen	Ape	RPminus	482.007	2	2	Ape6.jpg
495.022	4	0	4	85	Orrin	Otter	RPplus	485.029	2	2	Otter4.jpg
503.022	4	0	2	86	Egan	Elephant	NRPa	495.007	2	2	Elephant7.jpg
509.023	4	0	1	87	Ewan	Elephant	NRPb	501.007	2	2	Elephant4.jpg
514.023	4	0	2	88	Luka	Lion	NRPb	506.008	2	2	Lion1.jpg
520.023	4	0	2.5	89	Efren	Elephant	NRPb	512.008	2	2	Elephant1.jpg
526.523	4	0	2	90	Gordie	Giraffe	NRPb	518.508	2	2	Giraffe6.jpg
532.523	4	0	1	91	Amin	Ape	RPminus	524.508	2	2	Ape3.jpg
537.524	4	0	2.5	92	Griswold	Giraffe	NRPb	529.509	2	2	Giraffe7.jpg
544.024	4	0	2.5	93	Lester	Lion	NRPa	536.008	2	2	Lion5.jpg
550.524	4	0	1.5	94	Orson	Otter	RPminus	542.509	2	2	Otter1.jpg
556.024	4	0	1	95	Eton	Elephant	NRPb	548.009	2	2	Elephant6.jpg
561.024	4	0	5	96	Oakley	Otter	RPminus	553.009	2	2	Otter6.jpg
