onset	duration	onsetdelay	ITIduration	trial	ProperName	categ	cond	vocalOnset	rpDuration	vocalDuration	stim_file
20.002	4	0	2	1	Lonnie	Lion	NRPb	11.986	2	2	Lion3.jpg
26.002	4	0	1.5	2	Perry	Pig	RPminus	17.987	2	2	Pig8.jpg
31.502	4	0	1	3	Oxley	Otter	RPplus	21.51	2	2	Otter7.jpg
36.502	4	0	1.5	4	Lester	Lion	NRPa	28.487	2	2	Lion5.jpg
42.003	4	0	1	5	Pryor	Pig	RPminus	33.987	2	2	Pig2.jpg
47.003	4	0	1	6	Angus	Ape	RPminus	38.988	2	2	Ape1.jpg
52.003	4	0	3	7	Parrish	Pig	RPminus	43.988	2	2	Pig3.jpg
59.003	4	0	2	8	Asher	Ape	RPminus	50.988	2	2	Ape7.jpg
65.004	4	0	2	9	Olaf	Otter	RPminus	56.988	2	2	Otter5.jpg
71.004	4	0	2	10	Odin	Otter	RPplus	61.012	2	2	Otter3.jpg
77.004	4	0	1	11	Arlen	Ape	RPminus	68.989	2	2	Ape6.jpg
82.005	4	0	1	12	Amin	Ape	RPminus	73.989	2	2	Ape3.jpg
87.005	4	0	1	13	Luther	Lion	NRPb	78.99	2	2	Lion6.jpg
92.005	4	0	1.5	14	Garret	Giraffe	NRPa	83.99	2	2	Giraffe5.jpg
97.505	4	0	1	15	Efren	Elephant	NRPb	89.49	2	2	Elephant1.jpg
102.506	4	0	1	16	Leroy	Lion	NRPa	94.491	2	2	Lion8.jpg
107.506	4	0	1	17	Gino	Giraffe	NRPa	99.491	2	2	Giraffe4.jpg
112.506	4	0	1.5	18	Linton	Lion	NRPa	104.491	2	2	Lion4.jpg
118.006	4	0	1.5	19	Patrice	Pig	RPplus	108.013	2	2	Pig5.jpg
123.507	4	0	2	20	Pearson	Pig	RPplus	113.513	2	2	Pig6.jpg
129.507	4	0	1.5	21	Landin	Lion	NRPa	121.491	2	2	Lion2.jpg
