onset	duration	trial	ProperName	categ	cond	restudyDuration	stim_file
20.001	8	1	Prescott	Pig	RPplus	2	Pig7.jpg
28.001	8	2	Leroy	Lion	NRPa	2	Lion8.jpg
36.002	8	3	Glenworth	Giraffe	NRPa	2	Giraffe8.jpg
44.002	8	4	Percy	Pig	RPminus	2	Pig1.jpg
52.002	8	5	Gunther	Giraffe	NRPb	2	Giraffe2.jpg
60.002	8	6	Edbert	Elephant	NRPa	2	Elephant2.jpg
68.002	8	7	Paxton	Pig	RPplus	2	Pig4.jpg
76.003	8	8	Osgood	Otter	RPminus	2	Otter8.jpg
84.003	8	9	Amin	Ape	RPminus	2	Ape3.jpg
92.003	8	10	Oxley	Otter	RPplus	2	Otter7.jpg
100.003	8	11	Gordie	Giraffe	NRPb	2	Giraffe6.jpg
108.004	8	12	Odin	Otter	RPplus	2	Otter3.jpg
116.004	8	13	Ewan	Elephant	NRPb	2	Elephant4.jpg
124.004	8	14	Asher	Ape	RPminus	2	Ape7.jpg
132.004	8	15	Amos	Ape	RPplus	2	Ape2.jpg
140.004	8	16	Godwin	Giraffe	NRPb	2	Giraffe1.jpg
148.004	8	17	Pryor	Pig	RPminus	2	Pig2.jpg
156.004	8	18	Emmet	Elephant	NRPb	2	Elephant3.jpg
164.005	8	19	Linton	Lion	NRPa	2	Lion4.jpg
172.005	8	20	Perry	Pig	RPminus	2	Pig8.jpg
180.005	8	21	Luther	Lion	NRPb	2	Lion6.jpg
188.005	8	22	Oakley	Otter	RPminus	2	Otter6.jpg
196.006	8	23	Omar	Otter	RPplus	2	Otter2.jpg
204.006	8	24	Gino	Giraffe	NRPa	2	Giraffe4.jpg
212.006	8	25	Arlen	Ape	RPminus	2	Ape6.jpg
220.007	8	26	Patrice	Pig	RPplus	2	Pig5.jpg
228.007	8	27	Levar	Lion	NRPb	2	Lion7.jpg
236.007	8	28	Gifford	Giraffe	NRPa	2	Giraffe3.jpg
244.007	8	29	Ennis	Elephant	NRPa	2	Elephant8.jpg
252.007	8	30	Lonnie	Lion	NRPb	2	Lion3.jpg
260.008	8	31	Griswold	Giraffe	NRPb	2	Giraffe7.jpg
268.008	8	32	Pearson	Pig	RPplus	2	Pig6.jpg
276.008	8	33	Angus	Ape	RPminus	2	Ape1.jpg
284.008	8	34	Alden	Ape	RPplus	2	Ape4.jpg
292.008	8	35	Garret	Giraffe	NRPa	2	Giraffe5.jpg
300.009	8	36	Abner	Ape	RPplus	2	Ape5.jpg
308.009	8	37	Olaf	Otter	RPminus	2	Otter5.jpg
316.009	8	38	Efren	Elephant	NRPb	2	Elephant1.jpg
324.009	8	39	Lester	Lion	NRPa	2	Lion5.jpg
332.009	8	40	Elden	Elephant	NRPa	2	Elephant5.jpg
340.01	8	41	Landin	Lion	NRPa	2	Lion2.jpg
348.01	8	42	Orson	Otter	RPminus	2	Otter1.jpg
356.01	8	43	Eton	Elephant	NRPb	2	Elephant6.jpg
364.01	8	44	Luka	Lion	NRPb	2	Lion1.jpg
372.01	8	45	Parrish	Pig	RPminus	2	Pig3.jpg
380.01	8	46	Orrin	Otter	RPplus	2	Otter4.jpg
388.011	8	47	Egan	Elephant	NRPa	2	Elephant7.jpg
396.011	8	48	Anton	Ape	RPplus	2	Ape8.jpg
